,HE provider,Latitude,Longitude ,Year,Students
285,Swansea University,51.616667,-3.95,2020,20375
286,Swansea University,51.616667,-3.95,2021,21465
287,Teesside University,54.58889,-1.1875,2015,17920
288,Teesside University,54.58889,-1.1875,2016,18575
289,Teesside University,54.58889,-1.1875,2017,18555
290,Teesside University,54.58889,-1.1875,2018,18375
291,Teesside University,54.58889,-1.1875,2019,18665
292,Teesside University,54.58889,-1.1875,2020,19290
293,Teesside University,54.58889,-1.1875,2021,21275
294,Ulster University,54.597269,-5.930109,2015,26085
295,Ulster University,54.597269,-5.930109,2016,25155
296,Ulster University,54.597269,-5.930109,2017,24640
297,Ulster University,54.597269,-5.930109,2018,23715
298,Ulster University,54.597269,-5.930109,2019,24530
299,Ulster University,54.597269,-5.930109,2020,27680
300,Ulster University,54.597269,-5.930109,2021,33045
301,University College London,51.500152,-0.126236,2015,29945
302,University College London,51.500152,-0.126236,2016,37135
303,University College London,51.500152,-0.126236,2017,37905
304,University College London,51.500152,-0.126236,2018,40015
305,University College London,51.500152,-0.126236,2019,41180
306,University College London,51.500152,-0.126236,2020,41095
307,University College London,51.500152,-0.126236,2021,45715
308,University of South Wales,51.481307,-3.180498,2015,27710
309,University of South Wales,51.481307,-3.180498,2016,25265
310,University of South Wales,51.481307,-3.180498,2017,23465
311,University of South Wales,51.481307,-3.180498,2018,22860
312,University of South Wales,51.481307,-3.180498,2019,22330
313,University of South Wales,51.481307,-3.180498,2020,23090
314,University of South Wales,51.481307,-3.180498,2021,23150
315,The University of Warwick,52.408056,-1.510556,2015,23685
316,The University of Warwick,52.408056,-1.510556,2016,24665
317,The University of Warwick,52.408056,-1.510556,2017,25045
318,The University of Warwick,52.408056,-1.510556,2018,25705
319,The University of Warwick,52.408056,-1.510556,2019,26080
320,The University of Warwick,52.408056,-1.510556,2020,26825
321,The University of Warwick,52.408056,-1.510556,2021,28110
322,"University of the West of England, Bristol",51.454514,-2.58791,2015,26670
323,"University of the West of England, Bristol",51.454514,-2.58791,2016,27715
324,"University of the West of England, Bristol",51.454514,-2.58791,2017,27880
325,"University of the West of England, Bristol",51.454514,-2.58791,2018,28790
326,"University of the West of England, Bristol",51.454514,-2.58791,2019,29555
327,"University of the West of England, Bristol",51.454514,-2.58791,2020,30680
328,"University of the West of England, Bristol",51.454514,-2.58791,2021,34410
329,The University of York,53.957744,-1.082259,2015,16835
330,The University of York,53.957744,-1.082259,2016,17155
331,The University of York,53.957744,-1.082259,2017,17900
332,The University of York,53.957744,-1.082259,2018,18825
333,The University of York,53.957744,-1.082259,2019,19470
334,The University of York,53.957744,-1.082259,2020,19790
335,The University of York,53.957744,-1.082259,2021,22695
