Lower and Single Tier Authority Data,ITL3 regions ,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Wigan,,,43.33,45.16,46.56,47.78,49.38,49.92,50.39,53.81,55.61,57.01,59.55,62.17,64.93,65.61,69.27,74.47,76.03,79.69,81.43,80.28,79.8,79.09,78.2,80.18
Wirral,Wirral,,39.84,42.64,45.21,46.11,48.48,49.98,51.49,54.1,56.33,58.78,61.64,64.97,68.64,70.27,75.02,80,82.91,86.47,88.04,87.37,86.47,85.63,84.73,86.93
Wyre,,,38.54,41.86,44.84,47.03,50.45,52.92,56.11,60.29,63.07,70.06,73.32,73.04,74.11,73.39,85.05,80.04,88.22,85.88,87.19,85.93,85.74,85.07,84.93,87.25
Barnsley,"Barnsley, Doncaster and Rotherham",,46.22,48.64,50.46,51.91,53.53,54.39,55.6,57.93,61.07,63.08,65.16,67.53,71.61,72.34,75.18,80.11,82.76,86.24,87.88,86.92,86.16,85.45,84.62,86.51
Bradford,Bradford,,43.41,45.57,46.98,48.68,50.24,44.11,45.69,49.09,51.27,52.55,55.16,60.38,63.21,64.3,68.85,73.52,76.12,79.35,80.91,79.47,79.14,78.23,77.61,79.72
Calderdale,Calderdale and Kirklees,,41.28,43.35,46.06,38.97,41.32,44.1,46.03,48.68,54.56,50.38,53.57,58.25,58.54,60.03,64.3,68.72,72.76,77.32,79.36,78.45,77.92,77.22,76.75,78.87
Craven,,,50.06,52.4,53.78,54.51,56.22,57.45,52.88,55.55,63.31,62.77,65.35,66.05,69.97,70.58,74.96,79.63,82.26,85.2,87.36,86.86,85.83,84.84,84.19,86.31
Doncaster,North Nottinghamshire,,47.13,49.27,49.94,50.86,52.04,53.33,54.5,55.13,57.54,59.58,62.08,64.72,68.18,68.24,71.93,76.28,78.67,81.95,84.55,82.77,82.01,81.17,80.43,82.49
East Riding of Yorkshire,East Riding of Yorkshire,,47.87,50.69,51.22,52.73,54.27,55.21,56.83,60.89,64.87,66.51,68.91,72.55,76.3,76.37,80.25,85.14,87.64,90.56,92.53,90.5,90.71,89.63,88.67,90.6
Hambleton,,,37.23,39.26,41.06,42.17,44.29,46.15,47.84,54.1,57.46,60.98,62.77,66.72,71.49,71.53,76.95,82.78,86.82,91.05,92.75,92.13,91.64,90.84,90.11,92.4
Harrogate,North Yorkshire CC,,47.84,49.85,52.09,53.48,55.46,57,58.53,61.41,65.19,67.7,71.08,74.15,77.88,78.14,82.96,88.02,91.35,94.96,96.54,95.67,95.73,94.62,94.51,97.66
"Kingston upon Hull, City of","Kingston upon Hull, City of",,41.88,45.08,46.82,48,49.72,50.9,51.95,54.8,55.92,58.52,60.98,63.63,66.95,66.89,70.65,73.59,76.92,79.85,81.81,79.23,82.05,80.99,80.93,83.03
Kirklees,,,45.37,47.75,50.08,51.63,53.18,54.37,56.23,59.45,63.64,65.13,66.8,70.36,72.75,73.21,75.83,80.96,83.47,86.23,87.53,85.94,85.27,84.59,84.02,85.86
Leeds,Leeds,,43.51,45.28,48.58,48.77,50.36,52.02,53.58,56.51,59.15,61.62,63.95,66.75,69.81,70.28,73.77,78.19,80.44,83.62,85.91,84.46,84.19,83.26,82.44,84.89
North East Lincolnshire,,,43.05,44.8,46.99,47.89,49.8,51.47,52.58,47.84,50.63,51.58,57.7,61.3,64.66,64.82,68.81,72.68,78.46,73.27,85.24,78.47,78.05,78.69,76.94,79.29
North Lincolnshire,North and North East Lincolnshire,,45.44,47.46,49.06,50.51,51.52,52.48,54.27,59.54,61.97,49.98,53.44,57.25,60.87,62.26,67.06,71.97,75.92,80.32,82.07,80.68,79.94,79.55,78.41,80.4
Richmondshire,,,56.25,57.64,58.88,59.95,61.32,62.45,62.68,65.21,67.86,69.38,71.5,74.15,77.47,76.58,80.36,85.4,88.12,91.67,93.74,92.26,91.71,90.84,89.91,92.28
Rotherham,,,41.98,44.24,46.25,47.88,49.72,51.02,52.14,54.95,57.95,59.3,62.01,64.68,67.8,67.41,70.97,75.54,78.18,81.53,83.38,82.4,81.3,81,80.5,82.61
Ryedale,,,43.47,46.56,48.91,50.16,49.92,51.06,54.01,60.05,67.94,66.45,69.77,72.96,77.31,77.61,80.88,86.34,89.01,91.93,94.63,90.97,90.16,89.43,88.81,91.05
Scarborough,,,52.73,54.56,56.32,57.29,59.14,60.03,54.63,57.05,57.37,59.66,62.59,65.98,70.02,69.93,74.17,78.89,81.54,84.6,86.24,85.38,84.36,83.45,82.62,84.84
Selby,,,50.01,51.7,52.21,53.85,54.75,55.55,57.21,59.77,63.64,64.78,67.38,70.5,74.04,74.4,78.62,84.54,86.57,90.16,91.93,91,91.68,91.95,91.49,93.91
Sheffield,Sheffield,,45.87,47.44,48.61,49.39,51.4,52.19,53.83,57.52,54.58,54.86,56.73,59.89,64.14,64.33,68.25,72.84,75.99,79.38,81.44,80.16,80.15,79.69,79.07,80.84
Wakefield,Wakefield,,44.96,47.26,48.72,49.49,51.17,52.2,53.95,45.15,48.31,51.2,55.05,59.22,63.34,65,69.84,75.55,78.97,82.81,84.66,83.77,82.86,82.16,81.4,83.57
York,York,,44.03,46.48,48.67,50.08,51.2,52.58,55.02,59.88,64.66,66.32,69.35,72.49,75.88,76.86,80.17,85.76,89.87,93.28,95.31,94.11,93.17,92.33,91.81,94.33
Amber Valley,,,49.28,51.35,52.86,53.82,54.04,46.76,47.75,54.35,57.55,60.67,64.4,67.8,73.1,73.19,77.63,82.62,88.41,90.9,90.4,89.71,89.56,88.74,87.76,90.23
Ashfield,,,48.75,50.46,52.23,53.02,55.23,56.87,56.45,60.5,62.11,63.43,66.19,68.88,72.05,72.21,76.01,79.5,83.31,86.18,88.04,87.04,86.63,86.03,85.14,87.36
Bassetlaw,,,49.29,50.85,53.24,54.52,56.1,56.6,57.12,59.48,62.98,65.17,67.59,69.95,73.45,72.61,76.04,80.01,83.42,86.71,88.77,88.24,87.61,86.68,85.79,87.54
Blaby,,,45.76,47.75,49.85,51.45,52.23,54.16,56.15,57.41,61.62,63.98,67,63.31,67.97,69.56,74.56,77.82,82.8,86.21,88.24,88.38,87.66,86.63,86.19,87.79
Bolsover,,,49.16,50.52,53.68,53.8,56.05,57.68,58.31,62.78,64.69,65.98,68.37,71.29,74.76,74.27,77.55,82.39,86.05,89.17,91.27,90.62,89.86,88.98,88.13,90.32
Boston,,,43.12,45.9,38.15,39.49,43.55,46.5,45.65,49.38,53.12,55.82,59.01,61.64,64.55,64.61,68.35,74.16,76.91,80.37,82.13,81.3,80.4,79.45,78.75,80.82
Broxtowe,,,46.74,48.31,49.74,50.9,51.61,52.84,54.05,55.84,57.83,59.08,61.54,64.52,67.71,67.4,70.86,75.3,78.16,80.63,82.43,81.23,80.85,80.17,79.19,81.2
Charnwood,,,46.29,48.6,50.46,51.45,53.51,54.64,55.87,59.09,61.01,63.69,66.86,70.24,74.74,76.36,80.37,85.1,88.44,92.04,94.03,93.47,92.09,91.05,90.32,92.68
Chesterfield,East Derbyshire,,46.2,47.44,48.33,49.07,50.88,51.61,54.69,58.94,61.47,63.32,66.24,69.37,72.85,73.02,76.48,81.35,83.77,86.8,88.99,88.25,87.17,86.78,85.89,88.12
Corby,North Northamptonshire,,54.22,56.95,56.21,55.26,56.4,57.07,58.56,60.13,61.98,64.31,66.84,70.6,74.95,72.5,80.88,84.53,88.02,91.02,92.15,91.28,91.24,89.82,88.95,91.33
Daventry,West Northamptonshire,,51.5,53,53.71,55.03,55.7,57.08,58.98,62.06,64.84,68.04,67.46,68.9,74.58,75.29,81.08,86.61,93.42,96.11,96.48,95.7,95.38,94.35,93.59,96.21
Derby,Derby,,47.39,48.06,49.64,50.25,51.57,52.6,54.68,57.6,59.87,61.09,64.02,67.1,71.28,72.28,76.57,81.99,84.96,88.19,89.95,89.15,88.51,87.91,87.43,89.96
Derbyshire Dales,South and West Derbyshire,,53.14,55.75,55.87,56.5,40.6,44.04,47.19,51.38,55.21,59.45,63.11,67.76,73.58,74.93,80.9,87.13,87.54,91.75,93.89,95.13,92.19,91.32,90.65,93.13
East Lindsey,,,46.95,39.03,42.18,43.56,45.92,45.21,46.74,51.3,54.07,57.2,61.31,65.1,69.25,69.44,73,77.7,80.21,83.43,85.26,84.26,83.31,82.5,81.64,83.84
East Northamptonshire,,,51.05,52.35,53.81,47.39,49.96,51.76,53.96,58.73,61.26,63.1,66.85,70.65,75.59,76.82,82.5,87.59,91.98,96.03,98.03,96.84,95.87,95.07,94.28,96.77
Erewash,,,52.53,54.56,56.02,56.58,41.74,46.03,48.32,49.28,55.55,56.47,60.51,65,70.21,71.29,75.88,81.18,84.54,88.36,90.42,89.71,88.66,87.64,87.32,89.67
Gedling,,,46.65,48.87,50.88,51.88,53.78,55.15,56.07,59.92,62.31,64.26,67.02,60.14,64.32,65.69,69.58,75.31,78.93,82.99,84.88,83.89,83.13,82.29,81.58,83.69
Harborough,,,54.28,56.51,56.61,57.6,59.33,60.74,61.55,64.73,66.6,69.32,71.85,68.98,73.23,77.67,78.89,83.48,88.39,89.72,91.87,90.78,90.09,89.08,88.46,90.75
High Peak,,,47.62,47.76,49.68,50.24,52.09,54.63,55.85,62.5,67.15,69.56,72.74,76.49,80.39,80.43,85.37,89.77,93.52,96.61,98.18,97.77,96.65,95.65,94.79,96.52
Hinckley and Bosworth,,,49.07,49.73,50.68,51.57,53.5,54.72,56.5,58.5,61.7,65.11,68.44,71.74,75.83,76.24,82.2,84.17,88.85,91.75,92.74,91.9,91.07,90.35,89.59,92.02
Kettering,,,48.96,49.39,50.19,51.11,50.79,54.2,56.1,59.42,62.51,65.23,68.26,72.2,76.27,77.12,82.77,86.75,91.61,94.41,95.56,94.22,93.29,92.44,91.58,94.01
Leicester,Leicester,,45.87,47.68,49.26,50.11,51.96,53.23,54.77,57.1,59.67,63,65.19,68.04,70.59,70.91,74.31,77.47,80.35,83.47,85.42,84.74,84.24,83.47,82.63,84.64
Lincoln,Lincolnshire,,43.94,46.15,48.25,49.46,51.7,53.62,54.78,56.56,57.95,59.48,61.5,63.45,66.29,67.58,70.24,74.46,77.81,80.92,82,80.42,81.12,80.34,79.4,81.46
Mansfield,,,49.41,51.6,53.06,54.23,56.43,57.26,58.1,60.74,62.1,63.62,65.36,67.47,70.45,69.34,71.61,76.26,78.83,81.85,83.62,82.3,82.12,81.21,80.46,82.49
Melton,,,51.11,50.77,53.76,55.32,56.66,57.75,59.98,64.95,67.03,68.59,71.15,74.74,77.44,78.11,80.79,84.67,88.46,91.65,93.17,93.04,92.38,91.05,90.32,93.26
Newark and Sherwood,South Nottinghamshire,,48.68,50.96,52.88,53.54,55.37,56.5,57.44,59.84,62.25,64.34,66.88,70.44,74.66,74.06,77.44,81.47,84.12,87.15,89.07,88.01,87.15,86.51,85.74,87.97
North East Derbyshire,,,43.32,44.72,45.33,46.35,49.13,51.65,53.96,57.5,60.01,62.68,65.14,68.34,72.31,72.71,76.17,82.81,85.74,89.64,91.79,91.07,89.95,89.22,88.62,91.03
North Kesteven,,,48.77,52.39,52.41,53.17,55.15,56.45,57.91,61.36,62.3,63.88,65.75,68.12,71.76,73.11,75.36,79.12,83.61,87.31,89.3,88.26,87.84,87.35,86.54,88.75
North West Leicestershire,,,48.12,49.66,52.13,53.15,54.77,56.2,56.97,58.68,60.45,62.04,65.06,68.02,72.06,72.54,76.65,76.86,84.06,87.01,89.02,88.5,87.98,87.06,86.08,88.11
Northampton,,,47.62,49.37,51.03,51.5,53.46,55.26,56.43,59.8,62.39,65.22,69.15,73.15,78.44,78.9,83.7,88.12,92.99,96.73,98.18,97.09,96.61,95.82,95.07,97.52
Nottingham,Nottingham,,47.41,48.71,50.16,51.25,52.78,54.3,55.31,58.81,60.91,62.93,65.29,68.11,71.96,72.07,75.08,80.48,81.89,84.42,86.17,85.39,85.23,84.57,83.68,85.82
Oadby and Wigston,,,49.01,50.9,52.53,53.54,55.69,56.37,58.25,61.12,66.35,69.89,71.41,74.34,77.89,79.08,81.66,85.57,88.49,91.81,93.91,93.27,91.79,91.27,90.2,92.61
Rushcliffe,,,48.87,49.91,52.57,53.03,55.32,53.05,50.65,52.03,54.58,58.9,62.74,67.36,72.99,74.76,80.05,86.79,91.14,95.69,97.93,97.11,95.24,95.12,94.11,96.85
Rutland,Leicestershire CC and Rutland,,49.74,51.37,53.01,53.86,56.03,57.22,59.32,62.44,64.98,67.76,70.35,74.3,69.6,71.59,76.66,82.95,87.22,91.4,93.54,90.6,89.74,89.04,88.28,91.1
South Derbyshire,,,53.91,56.42,58.38,59.18,60.99,62.57,62.88,64.91,65.98,67.58,70.56,73.83,76.55,77.22,81.71,86.62,89.33,93.23,95.5,93.32,92.87,92.26,91.54,94.07
South Holland,,,50.29,52.15,54.06,55.12,57.03,58.62,60.5,61.69,63.16,64.81,66.35,68.61,71.57,70.68,73.31,78.19,81.46,85.43,87.4,86.54,85.66,84.8,83.98,86.25
South Kesteven,,,45.64,46.75,48.43,49.88,51.45,52.79,54.82,59.07,59.9,63.1,65.9,69.41,73.39,73.51,76.87,81.29,84.59,88.16,90.16,89.04,88.32,87.57,86.91,88.98
South Northamptonshire,,,50,52.55,54.13,56.27,58.59,58.98,60.95,64.55,69.06,72.16,67.5,72.07,76.87,78.53,84.69,91.25,96.06,100.74,102.99,102.28,100.44,99.76,99.26,101.86
Wellingborough,,,44.39,46.89,48.41,50.06,51.69,52.71,54.96,59.84,62.44,64.64,58.93,63.54,68.53,69.31,73.34,78.38,81.23,84.39,86.36,85.34,84.65,83.82,81.88,85.56
