Lower and Single Tier Authority Data,ITL3 regions ,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chiltern,,,53.61,55.49,58.14,59.73,63.07,65.95,69.27,73.82,77.38,80.16,83.83,87.79,92.81,92.76,97.43,103.39,107.01,111.56,114.27,112.16,111.47,110.25,109.29,..
Crawley,West Surrey,,55.83,58.75,60.16,61.72,64.06,64.69,66.96,75.52,77.58,81.03,83.95,88.05,91.75,90.39,92.57,99.72,102.85,107.16,109.4,108.65,107.46,110.98,109.56,112.75
Dartford,Kent Thames Gateway,,58.37,62.19,63.82,65.47,67.41,68.08,70.71,72.29,74.15,77.68,79.68,82.42,86.77,87.97,90.94,99.92,103.72,108.09,111.02,109.67,108.66,107.99,106.57,109.35
Dover,East Kent,,56.04,58.57,60.55,60.59,62.98,65.08,65.84,70.49,71.99,71.53,75,76.02,78.7,77.7,81.39,84.18,87.69,90.91,92.69,90.72,90.32,89.35,89.08,91.44
East Hampshire,,,55.93,58,60.26,62.18,65.4,68.28,70.82,75.81,79.17,82.4,86.24,90.16,94.4,97.61,98.77,106.51,111.05,115.88,118.05,116.9,115.71,114.8,113.47,116.51
Eastbourne,East Sussex CC,,56.58,57.99,58.84,60.74,63.89,64.86,64.91,70.52,73.73,74.8,76.91,79.8,83.01,82.28,85.29,89.93,93.58,97.05,98.2,94.21,95,93.91,92.94,96.16
Eastleigh,,,56.29,58.15,62.22,63.16,65.32,67.35,69.2,74.23,76.88,80.2,83.1,86.79,91.62,91.23,94.31,100.57,105.63,108.52,110.94,109.71,108.77,107.44,106.59,109.42
Elmbridge,,,56.82,58.99,58.4,60.04,63.18,65.58,68.57,73.75,78.09,82.77,87.27,92.25,98.7,100.11,107.58,115.11,119.86,126.08,128.97,127.68,126.5,125.65,124.79,128.48
Epsom and Ewell,,,52.14,52.37,56.72,58.71,60.81,63.61,66.63,74.64,78.23,83.35,86.49,90.9,96.85,97.88,105.17,110.27,114.19,118.14,120.87,119.78,118.68,121.38,119.91,123.46
Fareham,,,60.88,62.45,64.02,65.03,67.28,68.8,69.83,74.26,76.85,78.4,81.45,85.99,90.42,89.61,92.55,100.62,104.25,107.75,110.09,108.15,107.23,102.54,104.9,107.58
Gosport,,,68.63,69.47,68.72,68.67,70.81,72.32,69.71,72.43,75.55,76.51,79.98,83.08,86.5,83.7,87.71,93.14,97.39,99.96,101.84,99.56,98.69,97.67,97.38,99.82
Gravesham,,,54.99,58.04,60.09,61.09,63.13,65.08,66.5,69.88,71.42,80.03,81.33,83.05,87.72,88.98,93.53,98.45,101.69,106.05,108.46,107.96,106.86,107.03,105.55,107.01
Guildford,East Surrey,,60.66,63.14,65.35,66.94,68.7,70.79,73.46,78.16,81.75,84.53,88.53,93.74,99.67,100.89,106.77,115.12,123.29,125.92,127.35,126.46,125.1,124.75,122.53,126.1
Hart,,,50.29,58.4,58.38,60.48,63.4,66.01,68.1,77.34,77.77,85.13,89.41,90.64,95.35,95.39,100.81,112.18,116.75,117.67,119.53,118.33,117.09,116.3,114.95,117.88
Hastings,,,47.61,50.51,53.03,55.37,57.77,59.88,63.1,68.86,72.3,71.2,73.44,77.36,81.87,82.15,84.85,87.44,89.13,90.55,89.81,88.79,87.9,86.98,86.23,87.5
Havant,,,57.06,60.46,58.16,59.85,62.91,64.65,66.67,73.01,75.62,78.31,81.24,84.91,89.28,87.56,92.32,98.68,102.49,105.79,108.36,107.24,106.31,105.18,104.24,106.98
Horsham,West Sussex (North East),,59.1,61.07,62.64,63.15,65.69,67.77,69.59,74.3,77.6,79.84,83.03,87.15,91.73,92.24,96.71,103.05,106.58,111.84,114.36,112.89,112.02,110.82,109.73,112.61
Isle of Wight,Isle of Wight,,53.99,57.91,61.01,62.56,65.41,66.55,67.43,70.28,72.28,74.65,77.26,79.98,83.6,82.75,86.12,88.32,88.91,90.16,90.75,89.27,88.61,87.72,87.16,89.55
Lewes,,,52.8,54.7,57.59,58.36,60.33,61.01,62.44,66.01,67.41,69.2,71.56,75.14,78.44,78.3,83.48,88.2,90.91,94.56,96.3,93.17,92.54,91.6,92.61,95.03
Maidstone,Mid Kent,,64.29,66.63,66.95,68.02,70.18,72.73,58.68,62.12,64.57,66.92,70.26,74.11,78.77,78.61,83.39,88.62,91.29,95.96,97.73,97.37,96.3,96.79,94.84,97.5
Medway,Medway,,62.32,64.07,65.09,65.63,67.74,68.32,69.6,71.36,74.95,75.93,77.4,80.7,84.22,84.16,89.33,93.89,97.64,101.42,102.8,100.98,101.2,100.47,98.59,101.21
Mid Sussex,,,62.01,66.27,68.66,70.3,67.85,69.38,70.92,75.88,79.28,82.93,86.59,91.01,96.41,101.02,101.92,111.18,112.47,116.54,119.14,117.85,117.08,115.47,114.62,118.32
Milton Keynes,Milton Keynes,,54.22,56.29,56.63,57.71,59.58,61.14,62.73,65.83,68.3,70.86,73.9,77.37,82.33,82.15,87.11,92.38,95.8,99.62,101.76,99.38,100.26,98.83,97.84,100.2
Mole Valley,,,60.28,61.91,63.29,64.57,67.32,69.1,71.48,77.03,84.13,88.74,74.25,80.14,86.48,87.72,93.73,101.45,105.6,111.48,114.73,113.34,113.76,112.22,110.92,113.73
New Forest,South Hampshire,,58.69,60.98,62.87,63.9,66.26,67.85,69.73,74.03,76.73,79.3,82.66,86.37,91.93,92.52,96.75,103.28,107.74,112.62,115.09,114.1,112.78,112.16,110.73,113.74
Oxford,Oxfordshire,,51.69,54.52,56.03,57.72,61.48,62.32,65.14,72.36,77.53,81.38,82.55,87.41,94,93.87,99.04,105.26,109.1,113.2,114.54,113.63,112.7,111.81,112.45,114.81
Portsmouth,Portsmouth,,55.97,58.89,60.6,61.61,63.55,65.89,66.49,69.69,72.22,74.54,77.29,80.71,84.66,83.32,86.68,92.67,96.18,99.17,101.53,99.13,98.27,97.43,97.53,100.16
Reading,,,58.85,63.47,63.83,65.12,67.19,69.33,71.22,76.53,80.32,82.83,86.93,92.23,97.08,97.35,102.98,109.69,114.09,118.87,121.11,118.78,117.81,116.81,116.31,119.26
Reigate and Banstead,,,62.47,63.1,64.28,65.55,65.13,66.51,67.76,72.45,75.84,78.87,81.95,87.25,93.45,94.74,101.05,108.51,113.04,118.17,121.02,119.6,118.73,117.66,116.83,119.59
Rother,,,54.74,59.45,61.51,62.79,62.42,64.58,65.85,69.37,71.89,74.25,74.67,80.16,82.78,82.59,86.94,91.69,94.65,97.54,99.02,97.4,96.41,95.44,95.11,97.11
Runnymede,,,53.94,59.67,62.09,62.76,62.19,67.2,72.72,79.06,81.74,85.2,88.52,94.4,98.91,98.9,104.05,111.64,115.72,121.19,126.82,123.38,120.41,119.72,120.03,121.62
Rushmoor,,,54.38,57.08,59.23,60.93,58.53,62.83,65.96,71.66,76.15,79.58,82.91,87.41,92.59,91.14,96.07,103.18,111.19,112,113.86,113.43,111.56,110.36,109.23,112.2
Sevenoaks,West Kent,,56.05,58.66,60.95,61.88,64.22,65.1,65.42,69.53,72.53,75.41,79.02,82.83,87.59,87.96,93,102.57,103.24,109.64,108.96,108.77,107.78,106.3,105.28,108.05
Shepway,,,55.06,57.16,59.18,60.49,62.76,63.61,64.94,67.03,70.01,72.04,73.98,76.43,79.52,79.66,84.63,88.12,92.12,94.93,96.79,94.85,94.79,94.16,93.3,95.79
Slough,,,63.06,64.65,67.28,69.12,71.86,70.55,72.35,76.95,79.13,85.78,89.41,94.63,101.2,99.67,106.33,111.62,116.34,120.74,123.44,122.04,121.61,119.9,118.75,121.79
South Bucks,,,50.67,56.08,59.74,63.58,66.24,67.9,68.98,75.21,75.95,79.4,84.16,89.5,95.67,96.71,100.99,108.63,113.36,119.12,121.34,119.93,118.81,117.7,116.57,..
South Oxfordshire,,,59.51,57.37,58.91,60.79,63.6,64.51,66.57,72.62,75.56,78.81,82.61,86.77,91.98,91.91,97.33,103.69,107.03,111.16,113.36,112.33,111.33,110.41,109.55,112.64
Southampton,Southampton,,53.24,55.78,57.75,58.22,61.09,63.35,64.68,70.32,73.6,76.41,79.74,82.63,87.98,89.16,91.37,97.38,101.46,105.72,108.04,106.69,105.77,104.59,103.38,106.17
Spelthorne,,,60.3,63.55,66.01,67.84,71,69.56,71.81,75.15,80.91,82.4,87.53,92.4,98.55,97.55,102.38,108.78,112.31,116.65,119.25,117.98,116.64,115.83,114.45,117.53
Surrey Heath,,,48.85,52.71,56.43,57.35,60.43,63.4,66.37,71.28,75.06,78.3,82.16,86.83,92.48,93.07,100.06,103.97,107.45,111.67,114.22,114.24,112.37,111.26,110.44,112.45
Swale,,,55.64,59.83,63.15,65.2,67.71,68.11,70.11,74.8,77.12,79.38,82.54,84.13,87.19,84.9,85.95,91.34,94.32,97.82,100.24,99.18,98.21,97.47,96.31,98.91
Tandridge,,,57.51,60.57,62.43,64.7,67.63,71.15,73.03,78.32,82.35,88.17,89.49,93.33,100.07,100.35,106.19,113.42,118.45,123.82,126.79,125.57,124.49,123.91,122.13,124.96
Test Valley,,,56.2,56.79,49.97,52.07,55.99,58.03,58.68,60.43,65.59,72.15,72.13,77.08,82.85,84.52,90.34,97.01,101.41,106.8,109.07,107.95,106.84,106.78,104.55,108.99
Thanet,,,49.06,51.94,54.24,57.5,58.65,60.55,63.37,65.56,68.78,71.08,74,76.68,78.89,77.22,84.15,85.73,90.66,93.2,93.8,92.57,92.22,91.07,90.29,92.79
Tonbridge and Malling,,,51.52,54.68,57.93,58.79,62.33,64.96,65.61,70.06,73.78,77.14,81.28,85.66,91.07,91.61,97.06,102.96,107.4,113.5,116.33,115.17,114.73,113.1,112.11,115.1
Tunbridge Wells,,,56.63,61.9,64.1,65.48,68.26,69.84,72.54,75.94,78.22,80.68,84.07,87.18,92.34,91.96,101.06,102.59,106.8,110.61,113.01,112,110.91,109.77,108.77,111.74
Vale of White Horse,,,44.64,47.42,50.02,52.19,59.18,58.16,61.24,65.67,69.7,73.68,77.79,82.26,86.43,87.96,93.81,100.39,104.32,108.91,110.96,109.29,107.67,106.78,105.64,108.39
Waverley,,,58.22,61.33,63.05,63.93,65.12,67.42,67.88,74.52,80.14,82.49,86.19,91.55,97.04,97.66,102.47,111.16,115.65,118.74,120.65,119.45,118.23,117.6,115.89,119.13
Wealden,,,59.13,58.89,62.31,63.59,65.7,66.81,67.06,70.54,73.14,75.3,77.29,80.2,83.94,86.52,91.13,96.59,102.45,105.01,105.84,104.96,103.84,102.68,101.63,104.22
West Berkshire,,,50.47,54.46,57.83,59.55,62.44,65.11,65.85,71.97,75.73,79.95,84.84,89.99,96.03,96.44,101.98,109.14,113.59,118.31,121.07,118.8,117.42,116.54,115.91,119.18
West Oxfordshire,,,48.57,53.55,56.09,52.11,54.82,56.88,59.03,62.92,66.23,70.07,74.26,78.94,83.37,85.12,90.51,98.69,103.72,109.26,111.92,110.48,109.83,108.81,107.99,111.26
Winchester,Central Hampshire,,57.35,60.16,61.94,63.08,65.81,67.19,69.31,75.46,79.04,81.86,84.96,89.29,95.56,94.21,98.59,104.75,108.65,113.39,116.06,114.86,113.87,112.67,111.61,114.87
Windsor and Maidenhead,Berkshire,,60.65,63.78,66.7,68.03,70.28,72.72,74.86,79.7,82.94,86.8,90.72,94.06,99.15,100.82,104.01,111.08,115.67,121.38,123.94,123.02,121.78,120.53,119.66,122.69
Woking,,,61.04,63.8,64.55,66.05,68.54,71.37,73.18,78.98,83.11,89.19,91.86,97.66,103.13,102.76,107.23,115.37,119.71,125.12,127.59,124.37,125.2,127.85,128.72,132.01
Wokingham,,,62.46,65.6,68.08,69.11,73.08,74.26,77.43,85.81,89.1,91.56,94.98,99.28,103.74,104.32,109.08,115.62,120.88,127.05,130.31,129.08,129.33,130.73,129.29,132.7
Worthing,,,56.37,49.97,52.81,54.6,56.51,58.06,60.35,63.67,66.82,70.04,73.54,77.41,82.3,82.01,86.85,93,96.85,101.36,103.59,102.04,101.4,100.35,99.77,102.55
Wycombe,,Isle of Anglesey,60.52,62.86,65.17,66.59,68.21,70.35,70.94,76.33,80.67,83.23,86.38,90.63,95.74,95.29,97.98,106.94,109.71,115.34,118.68,116.47,115.35,114.28,113.21,..
Bath and North East Somerset,"Bath and North East Somerset, North Somerset and South Gloucestershire",Gwynedd,52.01,41.74,43.57,45.38,48.1,49.95,51.99,57.28,61.15,64.57,68.6,73.37,78.18,78.61,83.8,88.98,94.5,105.73,102.38,101.07,100.25,99.15,98.51,101.89
Bournemouth,,Conwy and Denbighshire,58.89,61.21,62.07,63.19,66.16,67.38,67.67,71.65,73.8,76.86,79.92,82.62,86.15,85.73,89.77,96.49,99.33,103.57,105.1,105.47,102.8,103.12,..,..
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole",South West Wales,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.42,105.12
"Bristol, City of","Bristol, City of",Central Valleys,49.13,51.75,54.34,55.63,57.42,59.34,60.97,63.95,65.99,68.14,71.26,75.14,78.73,79.27,83.58,88.06,92.03,95.88,98.66,97.41,97.83,96.7,95.79,98.27
Caradon,,Gwent Valleys,52.53,55.02,54.66,55.39,57.52,58.54,59.78,61.62,63,64.55,66.51,69.47,..,..,..,..,..,..,..,..,..,..,..,..
Carrick,,Bridgend and Neath Port Talbot,50.61,52.53,51.38,52.67,54.72,56.06,57.31,60.55,62.49,64.23,66.59,69.82,..,..,..,..,..,..,..,..,..,..,..,..
Cheltenham,,Swansea,46.94,50.1,52.27,53.58,55.93,57.81,59.9,63.63,65.71,68.49,71.15,74.87,79.3,79.15,82.72,88.16,90.98,94.71,96.9,96.09,95.48,95.48,93.98,96.16
Christchurch,,Monmouthshire and Newport,51.9,54.83,56.9,58.47,61.35,63.03,64.63,68.16,71.21,72.33,79.64,83.07,88.24,88.06,92.59,98.46,102.36,106.33,108.69,107.42,106.68,105.24,..,..
Cornwall,Cornwall and Isles of Scilly,Cardiff and Vale of Glamorgan,..,..,..,..,..,..,..,..,..,..,..,..,73.02,72.55,76.15,80.53,82.78,85.67,86.91,85.16,83.77,83.94,82.22,84.2
Cotswold,,Flintshire and Wrexham,56.26,57.92,60.67,61.29,63.9,65.9,67.26,70.46,73.05,76.02,80.8,83.16,87.88,86.35,91.21,96.65,99.93,103.96,106.06,105.08,104.13,103.16,102.22,105.09
Dorset,Dorset,Powys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9,100.17
East Devon,,Aberdeen City and Aberdeenshire,52.39,53.92,54.76,55.46,57.51,58.6,59.95,62.18,64.3,66.73,70.04,73.49,76.42,76.76,81.89,87.08,90.34,93.74,96.13,95.24,94.45,93.33,92.42,94.62
East Dorset,,Caithness and Sutherland and Ross and Cromarty,47.56,50.55,52.83,54.23,57.32,59.43,61.54,67.27,69.47,72.69,76.73,80.57,84.88,84.45,88.15,93.94,99.32,100.72,102.59,101.54,100.83,99.81,..,..
Exeter,,"Inverness and Nairn and Moray, Badenoch and Strathspey",48.63,49.96,50.67,51.71,53.09,54.47,55.4,58.19,59.88,61.97,65.29,67.9,71.69,71.69,75.68,80.26,83.02,86.53,89.42,88.62,88.56,87.29,86.67,89.34
Forest of Dean,,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",49.58,52.01,53.64,54.83,56.76,57.62,51.05,55.75,58.41,60.78,64.06,68.75,74.24,75.47,80.82,86.78,90.8,94.85,96.81,95.33,94.08,93.39,92.21,94.75
Gloucester,Gloucestershire,Na h-Eileanan Siar,49.81,54.93,57.09,58.46,60.81,62.06,63.01,64.31,67.31,67.57,70.52,74.97,79.74,80,83.27,88.75,91.95,84.56,86.48,87.15,85.85,89.67,84.28,86.87
Isles of Scilly,,Orkney Islands,0,0,0,0,0,0,0,0,0,0,0,0,77.35,79.95,84.51,90.15,94.65,100.82,104.09,103.46,99.91,99.27,98.41,100.02
Isles of Scilly,,Shetland Islands,45.91,47.37,45.54,46.69,48.67,50.09,53.56,53.85,58.74,62.51,73.63,76.51,..,..,..,..,..,..,..,..,..,..,..,..
Kennet,,Angus and Dundee City,49.53,51.96,54.37,56.22,59,61.21,62.63,65.72,68.28,71.08,74.38,77.95,..,..,..,..,..,..,..,..,..,..,..,..
Kerrier,,Clackmannanshire and Fife,49.47,46.24,47.7,48.96,50.81,52.86,53.25,57.08,60.1,63.31,65.93,70.15,..,..,..,..,..,..,..,..,..,..,..,..
Mendip,,East Lothian and Midlothian,49.77,52.42,55.12,47.5,49.65,51.71,53.71,57.4,60.2,62.77,65.58,69.83,74.03,75.1,79.89,85.34,88.84,93.38,95.37,94.28,93.42,92.58,90.58,94.28
Mid Devon,Devon CC,City of Edinburgh,50.26,53.46,53.18,54.47,55.72,56.78,57.99,61.88,63.98,65.79,68.25,70.75,73.71,73.51,77.43,82.01,84.76,87.34,89.58,88.3,88.67,88.19,87.38,88.54
North Cornwall,,Falkirk,51.04,52.39,52.12,52.71,54.26,55.61,56.32,58.53,60.56,62.71,64.89,67.63,..,..,..,..,..,..,..,..,..,..,..,..
North Devon,,Perth and Kinross and Stirling,47.94,49.32,51.49,49.87,55.68,53.83,59.41,60.54,62.98,65.3,68.09,70.1,72.43,72.6,74.88,79.33,81.95,84.99,86.76,85.6,84.81,84.06,83.54,85.92
North Dorset,,West Lothian,49.15,52.04,56.27,58.15,61.18,63.34,63.69,68.19,71.2,74.27,77.74,81.35,86.22,85.88,90.23,95.26,98.68,97.18,104.19,103.1,102.11,100.06,..,..
North Somerset,,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",51.7,53.94,55.73,56.47,58.76,60.65,61.95,66.07,62.93,65.84,68.96,72.69,76.82,77.17,81.48,86.45,90.73,95.46,97.46,95.24,94.23,93.65,92.59,94.96
North Wiltshire,,Glasgow City,52.02,51.75,54.18,55.97,58.02,60.32,61.13,64.05,66.16,69.01,72.43,75.3,..,..,..,..,..,..,..,..,..,..,..,..
Penwith,,"Inverclyde, East Renfrewshire and Renfrewshire",44.15,46.81,50.07,52.52,55.46,56.85,60.59,61.1,63.79,65.18,67.29,69.66,..,..,..,..,..,..,..,..,..,..,..,..
Plymouth,Plymouth,North Lanarkshire,45.15,47.47,48.02,48.91,50.96,52.15,52.76,55.39,57.74,59.31,62.92,63.15,60.25,58.38,61.91,66.1,69.94,73.96,76.62,76.06,75.85,75.06,74.33,76.55
Poole,,Scottish Borders,56.85,58.72,60.25,61.47,63.59,66.12,66.44,70.24,73.25,78.04,78.89,81.82,85.73,85.56,88.67,95.32,99.62,103.25,105.67,104.03,103.53,102.01,..,..
Purbeck,,Dumfries and Galloway,58.93,60.91,62.03,62.98,65.35,66.63,61.19,64.53,67.63,70.79,74.71,78.74,83.73,84.18,89.9,96.41,101.63,103.57,105.76,104.91,103.6,102.55,..,..
Restormel,,East Ayrshire and North Ayrshire mainland,52.73,53.96,48.03,49.62,51.82,55.26,54.83,59.16,61.77,63.53,66.36,69.19,..,..,..,..,..,..,..,..,..,..,..,..
Salisbury,,South Ayrshire,62.29,63.04,65.16,66.29,68.65,70.77,72.28,75.54,77.54,80.03,83.05,86.47,..,..,..,..,..,..,..,..,..,..,..,..
Sedgemoor,,South Lanarkshire,57.11,58.76,60.23,60.93,62.1,62.51,62.9,64.23,65.58,67.44,72.04,72.01,75.65,76.21,80.65,86.09,88.74,92.46,94.5,93.55,91.89,91.29,90.14,92.68
Somerset West and Taunton,Somerset,Belfast,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.26,96.86
South Gloucestershire,,"Armagh City, Banbridge and Craigavon",57.37,60.34,60.58,61.1,63.98,65.38,66.54,69.67,73.42,63.04,66.9,71.17,76.32,80.73,82.25,92.73,90.81,101.34,98.7,97.83,97.52,96.96,97.02,100.58
South Hams,,"Newry, Mourne and Down",52.01,52.8,53.92,55.41,57.53,59.14,59.65,63.76,66.21,68.22,70.84,73.53,77.38,77.77,81.26,86.92,90.32,94.26,96.39,93.73,92.77,93.26,92.45,94.73
South Somerset,,Ards and North Down,54.59,45.95,48.12,49.62,49.83,51.35,52.66,56.78,60.07,63.59,67.16,71.29,76.07,76.26,80.65,85.99,88.92,92.5,94.56,93.59,92.59,91.7,90.8,93.22
Stroud,,Derry City and Strabane,53.36,55.23,57.56,58.48,60.85,61.68,63.92,67.7,69.72,71.97,74.3,77.71,82.06,81.98,85.76,92.36,95.1,99.05,101.07,99.84,98.94,97.87,97.51,99.88
Swindon,Swindon,Mid Ulster,47.28,49.51,50.79,52.86,55.44,56.74,58.57,64.9,67.54,69.53,72.8,76.63,80.81,81.5,86.03,91.24,94.28,97.94,100.31,98.63,96.92,96.03,95.6,98.33
Taunton Deane,,Causeway Coast and Glens,51.94,54.29,55.99,58.08,60.18,61.68,62.6,65.82,68.23,70.29,72.34,75.12,79.04,79.27,83.31,88.37,91.77,95.86,98.38,97.37,96.1,95.13,..,..
Teignbridge,,Antrim and Newtownabbey,51.38,51.97,53.86,54.5,55.69,56.92,57.31,59.86,61.77,63.54,67.38,67.94,71.59,71.16,75.12,80.65,84.15,87.87,89.76,88.84,86.82,85.86,85,87.32
Tewkesbury,,Lisburn and Castlereagh,49.58,46.07,48.74,50.91,53.62,54.56,56.88,60.4,63.55,66.63,70.42,73.92,78.94,79.43,82.28,87.82,90.51,94.98,97.13,96.28,95.68,94.84,94.02,96.48
Torbay,Torbay,Mid and East Antrim,50.91,50.69,52.4,51.9,51.34,52.41,54.31,57.09,60.95,63.43,67.41,69.72,71.95,77.15,80.46,82.23,85.09,88.4,90.13,89.78,88.34,88.93,88.92,88.77
Torridge,,Fermanagh and Omagh,49.36,51.13,50.45,51.53,53.67,54.8,55.95,60.1,62.21,64.89,64.03,65.26,69,68.66,72.25,77.22,79.01,83.03,87.06,84.08,83.85,82.68,81.97,84.18
West Devon,,Flintshire and Wrexham,51.45,47.7,48.03,49.22,50.89,51.83,53.66,57.32,59.51,61.6,64.54,67.27,70.59,72.69,76.28,81.03,83.87,86.84,88.58,91.89,90.87,90.82,84.94,87.13
West Dorset,,Powys,53.63,50.13,53.65,53.69,55.97,58.23,60.8,66.53,68.92,72.16,75.47,79.09,83.64,83.27,87.77,93.18,96.18,99.63,101.89,100.9,99.85,98.87,..,..
West Somerset,,Aberdeen City and Aberdeenshire,52.17,54.37,56.78,58.46,61.38,62.04,62.81,64.01,65.94,68.43,72.19,75.77,80.34,80.36,84.86,90.05,93.08,96.64,98.69,97.62,96.5,95.47,..,..
West Wiltshire,,Caithness and Sutherland and Ross and Cromarty,51.69,54.66,57.54,54.99,55.8,57.84,60.17,65.89,68.45,69.31,72.66,76.29,..,..,..,..,..,..,..,..,..,..,..,..
Weymouth and Portland,,"Inverness and Nairn and Moray, Badenoch and Strathspey",54.53,56.58,47.25,48.65,53.2,52.8,54.85,55.9,59.76,62.39,66.29,69.18,74.1,75.07,80.17,86.05,94.46,93.72,96.04,95.1,94,93.23,..,..
Wiltshire,Wiltshire,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",..,..,..,..,..,..,..,..,..,..,..,..,81.66,81.92,86.54,92.22,96.07,99.82,101.82,101.06,99.89,99.16,97.56,100.54
,,Na h-Eileanan Siar,,,,,,,,,,,,,,,,,,,,,,,,
,,Orkney Islands,,,,,,,,,,,,,,,,,,,,,,,,
,,Shetland Islands,,,,,,,,,,,,,,,,,,,,,,,,
,,Angus and Dundee City,,,,,,,,,,,,,,,,,,,,,,,,
,,Clackmannanshire and Fife,,,,,,,,,,,,,,,,,,,,,,,,
,,East Lothian and Midlothian,,,,,,,,,,,,,,,,,,,,,,,,
,,City of Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,
,,Falkirk,,,,,,,,,,,,,,,,,,,,,,,,
,,Perth and Kinross and Stirling,,,,,,,,,,,,,,,,,,,,,,,,
,,West Lothian,,,,,,,,,,,,,,,,,,,,,,,,
,,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",,,,,,,,,,,,,,,,,,,,,,,,
,,Glasgow City,,,,,,,,,,,,,,,,,,,,,,,,
,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,,,,,,,,,,,,,,,,,,,,
,,North Lanarkshire,,,,,,,,,,,,,,,,,,,,,,,,
,,Scottish Borders,,,,,,,,,,,,,,,,,,,,,,,,
,,Dumfries and Galloway,,,,,,,,,,,,,,,,,,,,,,,,
,,East Ayrshire and North Ayrshire mainland,,,,,,,,,,,,,,,,,,,,,,,,
,,South Ayrshire,,,,,,,,,,,,,,,,,,,,,,,,
,,South Lanarkshire,,,,,,,,,,,,,,,,,,,,,,,,
,,Belfast,,,,,,,,,,,,,,,,,,,,,,,,
,,"Armagh City, Banbridge and Craigavon",,,,,,,,,,,,,,,,,,,,,,,,
,,"Newry, Mourne and Down",,,,,,,,,,,,,,,,,,,,,,,,
,,Ards and North Down,,,,,,,,,,,,,,,,,,,,,,,,
,,Derry City and Strabane,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid Ulster,,,,,,,,,,,,,,,,,,,,,,,,
,,Causeway Coast and Glens,,,,,,,,,,,,,,,,,,,,,,,,
,,Antrim and Newtownabbey,,,,,,,,,,,,,,,,,,,,,,,,
,,Lisburn and Castlereagh,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid and East Antrim,,,,,,,,,,,,,,,,,,,,,,,,
,,Fermanagh and Omagh,,,,,,,,,,,,,,,,,,,,,,,,
