,Date,type,value,area
209,01-Sep-06,england_pred,84.871605,England
210,01-Oct-06,northeast_pred,92.183029,Northeast
211,01-Oct-06,northwest_pred,91.722244,Northwest
212,01-Oct-06,yorkshireandthehumber_pred,90.080368,Yorkshire
213,01-Oct-06,eastmidlands_pred,89.738274,Eastmidlands
214,01-Oct-06,westmidlands_pred,90.209023,Westmidlands
215,01-Oct-06,east_pred,88.582779,East
216,01-Oct-06,london_pred,79.457802,London
217,01-Oct-06,southeast_pred,85.422142,Southeast
218,01-Oct-06,southwest_pred,86.891304,Southwest
219,01-Oct-06,england_pred,85.022377,England
220,01-Nov-06,northeast_pred,92.261139,Northeast
221,01-Nov-06,northwest_pred,91.8181,Northwest
222,01-Nov-06,yorkshireandthehumber_pred,90.196571,Yorkshire
223,01-Nov-06,eastmidlands_pred,89.880753,Eastmidlands
224,01-Nov-06,westmidlands_pred,90.330742,Westmidlands
225,01-Nov-06,east_pred,88.725883,East
226,01-Nov-06,london_pred,79.644325,London
227,01-Nov-06,southeast_pred,85.585846,Southeast
228,01-Nov-06,southwest_pred,87.043732,Southwest
229,01-Nov-06,england_pred,85.178177,England
230,01-Dec-06,northeast_pred,92.336731,Northeast
231,01-Dec-06,northwest_pred,91.910866,Northwest
232,01-Dec-06,yorkshireandthehumber_pred,90.309021,Yorkshire
233,01-Dec-06,eastmidlands_pred,90.018639,Eastmidlands
234,01-Dec-06,westmidlands_pred,90.44854,Westmidlands
235,01-Dec-06,east_pred,88.864365,East
236,01-Dec-06,london_pred,79.824829,London
237,01-Dec-06,southeast_pred,85.74427,Southeast
238,01-Dec-06,southwest_pred,87.191238,Southwest
239,01-Dec-06,england_pred,85.328949,England
240,01-Jan-07,northeast_pred,92.414848,Northeast
241,01-Jan-07,northwest_pred,92.006729,Northwest
242,01-Jan-07,yorkshireandthehumber_pred,90.425217,Yorkshire
243,01-Jan-07,eastmidlands_pred,90.161118,Eastmidlands
244,01-Jan-07,westmidlands_pred,90.570259,Westmidlands
245,01-Jan-07,east_pred,89.007462,East
246,01-Jan-07,london_pred,80.011353,London
247,01-Jan-07,southeast_pred,85.907974,Southeast
248,01-Jan-07,southwest_pred,87.343666,Southwest
249,01-Jan-07,england_pred,85.484749,England
250,01-Feb-07,northeast_pred,92.492958,Northeast
251,01-Feb-07,northwest_pred,92.102585,Northwest
252,01-Feb-07,yorkshireandthehumber_pred,90.541412,Yorkshire
253,01-Feb-07,eastmidlands_pred,90.303596,Eastmidlands
254,01-Feb-07,westmidlands_pred,90.691978,Westmidlands
255,01-Feb-07,east_pred,89.150558,East
256,01-Feb-07,london_pred,80.197868,London
257,01-Feb-07,southeast_pred,86.071686,Southeast
258,01-Feb-07,southwest_pred,87.496094,Southwest
259,01-Feb-07,england_pred,85.640549,England
260,01-Mar-07,northeast_pred,92.563515,Northeast
261,01-Mar-07,northwest_pred,92.189163,Northwest
262,01-Mar-07,yorkshireandthehumber_pred,90.64637,Yorkshire
263,01-Mar-07,eastmidlands_pred,90.432289,Eastmidlands
264,01-Mar-07,westmidlands_pred,90.801918,Westmidlands
265,01-Mar-07,east_pred,89.279808,East
266,01-Mar-07,london_pred,80.366341,London
267,01-Mar-07,southeast_pred,86.219551,Southeast
268,01-Mar-07,southwest_pred,87.633774,Southwest
269,01-Mar-07,england_pred,85.781265,England
270,01-Apr-07,northeast_pred,92.641624,Northeast
271,01-Apr-07,northwest_pred,92.285019,Northwest
272,01-Apr-07,yorkshireandthehumber_pred,90.762566,Yorkshire
273,01-Apr-07,eastmidlands_pred,90.574768,Eastmidlands
274,01-Apr-07,westmidlands_pred,90.923637,Westmidlands
275,01-Apr-07,east_pred,89.422905,East
276,01-Apr-07,london_pred,80.552864,London
277,01-Apr-07,southeast_pred,86.383255,Southeast
278,01-Apr-07,southwest_pred,87.786201,Southwest
