,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
East of England,E07000074,Maldon,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000001,Mid Bedfordshire,,,,,,41.13,42.64,43.46,44.48,47.10,49.71,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
East of England,E07000203,Mid Suffolk,,,,,,41.48,42.03,42.80,40.02,45.08,46.55,48.12,49.24,51.64,53.51,56.18,60.11,62.71,64.64,65.96,70.33,75.19,79.95,82.12,84.75,84.33,83.76,83.12,,82.39,84.97,3.137625096
East of England,E07000099,North Hertfordshire,,,,,,45.14,45.69,46.37,55.05,51.19,53.22,54.38,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000147,North Norfolk,,,,,,37.85,38.34,38.72,40.41,40.97,42.62,44.54,45.35,47.27,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000148,Norwich,,,,,,36.17,36.96,37.61,35.91,39.62,41.81,44.36,43.78,45.92,48.29,50.76,54.36,56.24,57.99,59.58,64.70,69.22,LSVT,74.40,76.28,75.73,75.12,74.30,,74.03,76.13,2.836687829
East of England,E06000031,Peterborough,,,,,,39.82,42.13,44.98,47.31,50.93,53.09,55.37,55.14,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,154.22,#VALUE!
East of England,E07000075,Rochford,,,,,,43.26,43.7,44.32,45.18,46.56,48.56,49.86,51.92,54.27,56.69,59.46,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000003,South Bedfordshire,,,,,,44.33,44.33,45.30,48.15,51.45,54.56,58.01,58.25,60.74,63.40,66.75,71.55,74.05,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
East of England,E07000012,South Cambridgeshire,,,,,,42.29,44.57,46.53,49.02,50.74,52.88,55.18,56.92,57.42,62.29,65.52,68.07,72.54,74.86,77.41,84.08,52.00,95.00,101.36,104.05,103.31,103.00,101.96,,102.16,105.36,3.127292022
East of England,E07000149,South Norfolk,,,,,,39.56,39.92,40.89,41.55,42.46,44.86,46.08,46.74,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E06000033,Southend-on-Sea,,,,,,45.5,45.99,46.70,47.59,48.96,50.31,51.20,50.11,52.03,54.48,57.20,61.31,63.09,65.21,64.64,76.01,75.69,79.92,84.66,88.05,88.88,86.06,85.49,,85.27,88.13,3.343159741
East of England,E07000240,St Albans,,,,,,..,..,49.81,49.84,52.20,53.41,57.44,59.22,61.90,65.15,68.47,73.34,76.28,79.47,81.95,87.85,92.73,97.45,97.68,104.47,104.13,102.56,97.99,,101.86,107.76,5.792263892
East of England,E07000204,St Edmundsbury,,,,,,..,..,42.81,45.02,46.25,48.50,50.60,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000243,Stevenage,,,,,,46.14,46.49,48.66,47.77,49.86,54.30,57.36,58.10,60.70,63.18,66.34,71.08,73.46,75.75,77.07,80.79,86.79,93.26,96.46,98.53,97.35,96.66,96.04,,95.14,97.68,2.668100748
East of England,E07000205,Suffolk Coastal,,,,,,37.07,38.09,40.01,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,89.00,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000076,Tendring,,,,,,40.3,41.45,43.66,43.64,44.46,45.13,46.02,48.20,49.61,51.86,54.72,56.87,60.55,62.12,63.10,63.56,72.12,77.16,76.15,82.34,81.56,79.30,78.51,,79.45,82.20,3.461296413
East of England,E07000102,Three Rivers,,,,,,45.67,47.98,49.07,50.93,53.48,55.73,59.34,60.52,63.28,66.19,69.49,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E06000034,Thurrock,,,,,,41.23,43,46.45,46.65,49.86,52.59,54.01,55.15,57.40,59.89,62.14,64.58,68.02,64.21,68.02,75.46,77.73,80.86,85.31,87.55,91.43,85.97,85.51,,84.55,87.50,3.489669363
East of England,E07000077,Uttlesford,,,,,,45.65,46.27,48.03,48.03,50.89,54.33,56.46,57.63,60.43,63.12,66.20,70.82,74.14,76.35,77.48,82.71,89.24,94.00,98.17,101.56,101.12,100.01,101.48,,101.68,102.51,0.818834572
East of England,E07000103,Watford,,,,,,43.87,43.87,45.93,57.00,50.31,54.12,56.32,57.54,60.70,63.86,66.14,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
East of England,E07000206,Waveney,,,,,,37.35,37.78,38.89,39.96,41.06,43.93,44.40,46.07,47.78,49.81,52.26,55.92,58.64,60.52,61.96,64.70,71.60,75.83,80.81,81.67,78.61,81.60,82.07,,..,..,#VALUE!
East of England,E07000241,Welwyn Hatfield,,,,,,40.27,41.23,42.50,42.59,47.99,49.93,52.27,55.13,58.60,62.17,65.33,68.61,73.18,75.63,76.93,82.75,89.76,96.24,101.36,107.29,106.40,105.31,104.88,,103.92,107.68,3.616252817
East of England,E07000245,West Suffolk,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,102.10,110.93,8.652134942
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
London,E12000007,,35.97,41.34,45.71,47.09,50.7,52.94,54.23,55.25,58.00,60.17,62.36,64.65,65.11,66.58,69.58,72.77,76.79,79.72,82.43,83.50,89.17,97.22,101.83,105.09,107.93,108.06,106.24,105.72,,105.35,108.20,2.707627572
London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
London,E09000002,Barking and Dagenham,,,,,,39.71,42.1,44.43,49.68,52.24,54.52,57.56,58.42,60.70,63.06,66.13,71.07,74.05,72.70,73.97,79.30,88.29,90.39,91.99,98.58,.,97.27,94.89,,95.52,97.02,1.57282385
London,E09000003,Barnet,,,,,,52.11,52.6,52.59,55.35,56.92,57.78,61.90,62.24,64.83,67.76,70.98,75.08,79.55,81.77,83.17,95.75,98.27,98.29,101.05,103.36,102.92,102.75,102.52,,101.37,104.61,3.190820188
London,E09000004,Bexley,,,,,,53.02,58.52,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
London,E09000005,Brent,,,,,,69.81,69.05,70.37,72.59,72.81,74.48,74.15,74.28,77.03,79.87,78.64,83.32,86.83,87.48,88.35,95.08,104.52,112.81,114.53,113.62,112.71,113.66,113.25,,112.66,118.17,4.894193089
London,E09000006,Bromley,,,,,,42.72,42.72,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
London,E09000007,Camden,,,,,,58.71,59.69,60.76,59.77,62.92,65.30,68.93,69.79,68.18,72.14,75.28,78.60,81.90,84.51,85.64,91.54,103.96,103.96,109.79,114.72,113.57,113.03,112.59,,111.48,113.68,1.973448152
London,E09000001,City of London,,,,,,55.34,55.82,56.83,58.58,58.70,60.43,63.12,65.54,68.36,66.70,65.39,69.98,73.07,75.34,76.64,83.00,90.16,112.15,100.69,104.73,105.66,104.62,100.51,,103.08,106.01,2.842452464
London,E09000008,Croydon,,,,,,62.1,62.78,62.78,64.20,67.95,65.69,69.05,65.53,67.89,70.48,73.68,79.19,81.57,84.33,85.12,95.81,100.13,104.99,107.37,106.64,105.46,104.42,103.40,,103.48,106.24,2.671040215
London,E09000009,Ealing,,,,,,59.17,58.72,59.11,60.85,63.26,65.82,67.77,64.20,66.52,69.01,73.68,77.45,78.67,82.02,82.02,86.14,92.89,92.45,95.19,97.45,96.47,95.81,95.83,,95.46,98.34,3.018789851
London,E09000010,Enfield,,,,,,51.98,52.79,53.50,55.55,57.93,62.75,65.74,64.87,66.72,69.05,72.05,76.93,79.10,81.06,81.27,86.30,92.44,96.10,102.75,101.78,100.97,100.38,101.06,,100.97,105.19,4.184876276
London,E09000011,Greenwich,,,,,,50.5,51.14,53.95,56.25,54.65,59.00,60.93,63.87,64.96,67.44,70.55,75.87,78.44,80.58,81.55,87.07,93.44,97.46,102.18,104.62,103.58,90.71,89.90,,89.16,91.68,2.826379542
London,E09000012,Hackney,,,,,,54.79,55.25,56.11,56.62,58.47,61.71,64.72,59.19,61.33,65.00,67.81,72.22,74.67,78.84,79.31,88.83,91.23,95.00,99.41,102.57,101.55,100.55,99.97,,98.28,101.58,3.357753358
London,E09000013,Hammersmith and Fulham,,,,,,53.77,54.26,56.18,57.98,59.13,61.37,63.97,64.80,68.02,71.19,74.60,81.42,82.78,85.30,86.42,92.19,92.60,99.31,106.29,109.44,108.34,107.94,107.48,,104.02,106.87,2.73985772
London,E09000014,Haringey,,,,,,57.54,56.02,58.96,58.94,60.48,62.14,65.32,62.83,65.44,68.74,72.14,76.95,79.71,82.53,83.43,87.50,94.02,98.48,103.27,107.12,106.44,105.56,104.63,,103.72,104.78,1.016341458
London,E09000015,Harrow,,,,,,64.68,65.17,67.21,66.77,68.65,70.67,73.35,75.38,77.36,77.37,77.36,78.71,81.06,84.00,86.60,95.70,102.08,107.06,112.50,114.99,113.80,113.08,112.13,,112.26,115.53,2.911219704
London,E09000016,Havering,,,,,,44.59,44.95,45.18,46.83,48.26,49.21,52.67,53.43,55.19,55.73,58.59,62.71,66.39,68.45,69.73,75.03,81.23,86.79,90.64,90.64,98.23,98.15,.,,96.50,100.53,4.176670509
London,E09000017,Hillingdon,,,,,,63.24,64.2,65.28,66.71,68.80,70.82,72.40,74.13,76.06,78.07,80.88,84.28,86.09,88.71,89.98,95.22,101.00,104.53,110.62,109.99,108.95,108.05,109.02,,108.48,111.47,2.755747709
London,E09000018,Hounslow,,,,,,49.81,50.81,52.01,52.89,55.85,57.91,61.25,62.20,64.80,67.47,70.84,75.95,77.89,77.42,78.73,84.35,91.36,97.76,101.45,105.22,104.60,106.50,.,,102.52,105.29,2.696957676
London,E09000019,Islington,,,,,,56.16,57.16,58.36,60.00,62.32,64.46,68.59,67.08,67.09,70.41,73.92,79.01,81.59,84.42,85.86,92.07,100.49,105.84,111.85,115.91,116.45,116.55,117.30,,117.77,121.17,2.890650606
London,E09000020,Kensington and Chelsea,,,,,,68.72,68.72,68.16,68.17,68.15,70.23,74.01,77.91,79.69,79.47,79.41,82.52,86.93,89.79,90.86,96.99,120.33,111.66,118.56,123.91,123.06,122.15,121.14,,119.99,123.25,2.716893074
London,E09000021,Kingston upon Thames,,,,,,61.15,61.64,63.43,63.99,66.33,66.44,70.14,71.03,71.54,74.85,79.28,84.81,86.25,89.23,90.14,96.62,104.12,107.00,114.95,116.94,116.42,116.13,113.24,,112.82,113.96,1.010091808
London,E09000022,Lambeth,,,,,,49.56,54.01,55.24,57.72,59.88,61.63,62.52,66.07,67.85,69.89,73.78,69.76,72.85,82.22,85.18,98.18,98.12,102.12,107.06,110.18,108.06,107.73,106.93,,107.25,109.88,2.452214452
London,E09000023,Lewisham,,,,,,46.73,48.9,49.82,52.15,55.00,57.03,59.16,58.45,61.57,64.44,67.52,70.90,74.64,76.67,77.01,81.67,87.38,95.91,98.45,98.12,96.34,95.53,94.63,,94.82,99.19,4.608732335
London,E09000024,Merton,,,,,,52.56,53.05,54.06,54.83,56.02,58.36,61.95,59.77,63.02,66.07,69.46,69.46,77.16,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,85.50,100.92,18.03508772
London,E09000025,Newham,,,,,,43.72,44.21,44.92,49.40,54.35,56.35,58.63,60.05,57.88,60.59,63.62,68.33,71.04,73.18,74.29,98.24,95.31,101.00,97.92,100.84,103.39,99.69,99.17,,101.98,104.64,2.609944043
London,E09000026,Redbridge,,,,,,65.89,66.36,67.56,67.65,69.14,70.00,68.27,68.05,70.35,71.79,74.42,79.31,81.40,83.60,83.79,89.25,98.72,102.82,105.11,104.70,105.59,104.76,105.26,,104.85,108.80,3.766043409
London,E09000027,Richmond upon Thames,,,,,,52.92,54.54,56.09,61.13,62.41,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
London,E09000028,Southwark,,,,,,50.07,50.56,49.70,54.74,56.56,58.84,58.24,60.09,61.27,66.50,70.09,73.26,77.42,79.54,80.60,85.20,93.65,98.68,99.18,103.90,100.76,100.13,98.75,,102.82,104.99,2.110484342
London,E09000029,Sutton,,,,,,50.97,53.08,54.63,54.15,56.88,55.23,57.60,59.36,64.41,64.58,69.06,74.55,77.44,79.95,81.31,87.20,94.51,99.41,108.82,108.86,107.74,107.06,107.49,,108.13,112.24,3.79882178
London,E09000030,Tower Hamlets,,,,,,45.01,49.21,50.52,58.71,62.86,67.67,69.65,70.19,66.76,70.14,73.32,77.33,81.36,83.86,86.46,92.23,99.16,103.56,111.48,112.07,114.53,110.81,109.96,,109.04,112.29,2.979883005
London,E09000031,Waltham Forest,,,,,,46.37,49.36,52.17,59.54,62.65,64.47,66.68,68.29,70.08,72.08,70.56,79.23,78.27,80.41,80.95,86.51,92.39,104.79,100.80,104.60,104.86,104.69,104.69,,102.65,104.72,2.01656113
London,E09000032,Wandsworth,,,,,,59.68,60.17,60.79,65.61,66.95,70.05,72.48,77.48,81.62,86.98,94.63,99.84,105.06,108.07,104.64,112.49,120.85,130.83,125.85,128.45,128.85,128.14,126.35,,126.51,129.17,2.101282794
London,E09000033,Westminster,,,,,,64.62,66.65,68.62,73.96,76.15,77.84,81.30,81.59,84.26,87.08,90.22,93.96,93.64,96.61,98.03,106.03,111.43,117.92,122.19,126.14,131.87,129.98,127.09,,121.27,124.56,2.712954564
London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South East,E12000008,,31.15,35.17,38.75,41.96,44.48,45.96,47.05,48.36,50.55,51.97,53.98,56.34,57.59,59.41,61.61,63.98,67.91,70.83,72.99,74.19,78.70,84.55,87.90,92.26,94.15,93.76,93.06,92.03,,91.79,94.80,3.276410181
South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
South East,E07000223,Adur,,,,,,44.05,46.34,48.59,51.69,53.03,54.48,57.60,58.32,58.36,58.64,60.74,64.95,67.53,69.79,71.24,76.11,82.03,84.56,92.13,91.65,91.00,91.33,90.85,,90.04,92.71,2.965348734
South East,E07000224,Arun,,,,,,54.14,54.62,55.03,56.44,57.64,57.93,56.72,56.08,58.37,60.70,63.93,68.26,70.26,72.16,72.40,76.79,82.22,89.42,91.00,90.24,89.31,88.55,88.44,,87.84,92.40,5.191256831
South East,E07000105,Ashford,,,,,,49.91,50.04,51.13,51.88,53.41,54.81,56.09,57.34,58.92,60.77,63.19,66.49,69.77,71.15,72.99,82.38,85.38,88.27,92.59,93.18,93.04,93.81,94.64,,92.64,97.25,4.974521484
South East,E07000004,Aylesbury Vale,,,,,,43.48,45.27,47.31,48.96,50.99,52.15,56.72,58.07,60.83,64.26,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000084,Basingstoke and Deane,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E06000036,Bracknell Forest,,,,,,42.68,45.02,49.84,52.81,54.21,58.21,62.57,63.03,65.28,67.91,71.15,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E06000043,Brighton and Hove,,,,,,43.72,44.69,45.42,46.14,47.81,49.35,51.80,52.26,54.09,55.28,57.66,61.45,64.22,65.74,66.55,70.76,75.93,79.29,83.72,85.72,85.26,85.27,85.25,,84.08,87.49,4.046136205
South East,E06000060,Buckinghamshire,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
South East,E07000106,Canterbury,,,,,,47.62,48.11,49.10,49.55,50.82,52.13,55.34,56.69,58.50,60.25,62.58,67.07,69.26,71.20,70.78,78.00,82.69,85.68,87.84,89.79,89.10,88.21,86.45,,86.54,88.96,2.796394731
South East,E07000177,Cherwell,,,,,,40.95,44.91,47.22,47.04,49.83,52.64,55.42,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,157.65,154.99,-1.687281954
South East,E07000225,Chichester,,,,,,43.51,44.49,45.43,50.40,52.82,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000005,Chiltern,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000226,Crawley,,,,,,44.85,45.34,46.79,50.30,53.82,57.81,61.59,62.40,64.89,67.57,70.87,75.01,78.92,81.65,83.91,90.17,103.24,99.31,107.39,107.27,106.25,106.70,106.85,,105.61,108.57,2.802675379
South East,E07000107,Dartford,,,,,,47.25,47.78,48.67,50.52,51.99,53.48,56.51,56.76,59.08,61.18,63.82,66.93,70.46,72.90,74.96,83.49,88.12,90.42,93.43,95.25,95.06,94.17,92.90,,88.71,91.48,3.114801595
South East,E07000108,Dover,,,,,,49.58,50.19,52.12,55.58,53.90,55.34,57.44,57.26,58.54,59.91,61.87,65.67,68.08,70.36,70.20,73.95,LSVT,82.56,84.72,86.50,85.78,84.92,84.17,,83.38,85.64,2.704329737
South East,E07000085,East Hampshire,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000061,Eastbourne,,,,,,43.8,44.53,45.33,46.03,47.70,49.19,50.27,51.49,53.00,54.47,56.34,58.61,58.45,62.89,63.78,68.38,71.44,74.77,77.93,80.07,79.31,78.07,77.30,,74.08,79.63,7.499268353
South East,E07000086,Eastleigh,,,,,,55.59,62.3,64.37,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000207,Elmbridge,,,,,,51.45,52.75,55.34,57.76,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000208,Epsom and Ewell,,,,,,46.71,46.71,61.05,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000087,Fareham,,,,,,43.93,44.42,45.28,46.00,48.63,51.73,54.47,55.49,57.64,58.34,61.27,63.10,68.43,70.50,71.57,76.94,81.63,85.60,90.13,92.86,92.62,91.30,90.80,,89.19,93.01,4.283440918
South East,E07000088,Gosport,,,,,,48.96,50.14,50.14,49.73,49.58,50.31,50.27,50.31,49.41,50.73,53.02,56.52,58.81,60.67,62.47,66.91,72.12,72.12,80.33,81.25,83.61,83.51,82.30,,76.17,78.14,2.578273081
South East,E07000109,Gravesham,,,,,,47.16,47.64,48.28,48.63,50.06,51.93,54.50,51.21,53.50,55.86,60.30,64.54,67.28,69.34,70.03,73.46,79.36,83.26,87.79,89.73,92.74,88.76,88.15,,87.76,90.52,3.148330117
South East,E07000209,Guildford,,,,,,52.05,55.21,57.64,58.04,59.98,62.51,65.65,67.21,69.57,72.50,76.35,80.13,85.36,87.29,90.85,96.12,101.44,105.93,110.21,112.94,111.85,111.22,110.44,,110.60,113.90,2.981401659
South East,E07000089,Hart,,,,,,61.46,63.74,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000062,Hastings,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000090,Havant,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000227,Horsham,,,,,,52.97,54.57,58.75,59.90,62.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,..,..,#VALUE!
South East,E06000046,Isle of Wight,,,,,,39.37,34.8,41.15,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000063,Lewes,,,,,,47.29,47.28,48.98,50.91,52.16,48.10,54.74,53.62,57.20,59.93,62.44,65.57,68.86,69.84,70.60,80.57,83.93,87.91,90.34,90.42,90.00,88.25,88.30,,87.02,90.47,3.968206415
South East,E07000110,Maidstone,,,,,,48.26,48.74,48.98,50.73,52.47,55.18,56.42,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,77.13,#VALUE!
South East,E06000035,Medway,,,,,,42.03,42.14,44.05,47.05,49.63,51.71,49.97,51.95,54.12,56.47,58.48,62.76,64.90,66.81,68.00,76.74,79.44,82.42,84.24,84.26,83.49,82.61,80.95,,80.93,83.53,3.211966674
South East,E07000228,Mid Sussex,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E06000042,Milton Keynes,,,,,,37.28,37.72,38.66,39.62,44.32,52.60,56.60,62.94,63.43,64.02,65.05,66.56,68.71,70.65,71.28,74.73,77.83,80.93,83.83,85.74,85.16,84.35,80.10,,83.94,86.53,3.084975604
South East,E07000210,Mole Valley,,,,,,44.11,45.14,46.40,48.26,49.47,49.99,53.01,55.14,59.47,59.12,66.80,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,121.80,124.44,2.167487685
South East,E07000091,New Forest,,,,,,49.99,50.5,50.92,53.02,56.60,58.54,61.35,61.79,64.20,66.69,69.57,74.49,76.93,79.13,79.58,84.53,90.53,99.74,101.96,100.98,100.07,99.07,98.07,,97.92,100.39,2.517503998
South East,E07000178,Oxford,,,,,,41.49,43.52,45.00,49.89,53.18,56.13,57.12,58.45,60.59,64.05,66.12,71.93,75.03,77.40,78.46,85.14,91.82,96.85,102.17,106.30,106.09,106.10,104.74,,103.49,106.07,2.488757032
South East,E06000044,Portsmouth,,,,,,41.75,44.46,46.58,48.67,50.02,51.43,52.41,53.76,55.65,57.38,60.29,63.33,66.48,68.41,69.31,72.08,74.99,79.44,85.41,87.39,86.73,86.13,84.65,,85.64,88.62,3.473152012
South East,E06000038,Reading,,,,,,56.59,57.45,60.30,60.87,61.91,63.60,66.49,67.53,69.60,72.55,75.38,80.05,81.12,83.48,85.08,89.36,93.25,98.08,99.12,101.67,100.89,100.07,99.70,,99.31,103.93,4.651641671
South East,E07000211,Reigate and Banstead,,,,,,49.74,50.25,51.07,57.00,59.31,61.60,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,129.96,#VALUE!
South East,E07000064,Rother,,,,,,51.63,52.24,54.39,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,68.98,#VALUE!
South East,E07000212,Runnymede,,,,,,55.9,57.54,59.30,61.75,63.44,64.19,65.59,67.99,68.66,71.10,73.82,79.58,82.05,84.46,87.04,93.37,100.09,103.65,108.43,111.02,109.96,108.93,108.48,,107.39,110.21,2.6325767
South East,E07000092,Rushmoor,,,,,,76.12,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000111,Sevenoaks,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
South East,E07000112,Shepway,,,,,,43.23,43.57,44.84,45.70,45.67,49.49,52.34,49.87,52.69,54.13,56.77,60.79,63.45,65.37,66.39,73.80,76.23,85.53,83.41,85.30,84.99,84.31,83.71,,82.97,85.57,3.133379566
South East,E06000039,Slough,,,,,,51.01,50.91,51.54,53.20,55.26,56.52,59.15,61.47,61.29,64.48,68.71,72.73,76.51,79.01,79.95,85.89,92.90,97.25,102.22,104.46,103.91,103.50,102.46,,102.83,106.22,3.297640485
