,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
North West,E07000030,Eden,,,,,,46.49,53.08,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000016,Ellesmere Port & Neston,,,,,,..,..,29.30,29.73,30.66,33.36,36.62,38.08,41.48,44.55,46.93,50.30,53.10,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North West,E07000119,Fylde,,,,,,31.61,32.59,33.86,35.51,36.88,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E06000006,Halton,,,,,,30.8,31.66,33.01,34.49,36.90,39.54,42.45,44.64,47.33,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E07000120,Hyndburn,,,,,,38.53,38.95,38.17,40.66,41.98,43.51,44.37,42.61,45.44,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North West,E08000011,Knowsley,,,,,,43.83,44.32,44.62,44.88,46.25,47.92,49.32,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,83.07,.,,..,..,#VALUE!
North West,E07000121,Lancaster,,,,,,34.85,36.07,37.34,39.00,40.67,42.18,43.64,45.13,47.12,49.08,51.50,54.02,56.72,58.45,60.04,64.18,69.19,69.87,71.24,71.29,70.74,70.47,70.86,,70.63,72.77,3.029873991
North West,E08000012,Liverpool,,,,,,41.04,41.12,41.12,41.11,41.00,42.96,43.23,47.86,47.22,49.27,51.73,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,85.45,85.54,0.105324751
North West,E07000017,Macclesfield,,,,,,36.22,37.32,38.63,40.31,42.95,44.70,46.58,49.26,51.61,50.70,MYT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North West,E08000003,Manchester,,,,,,46.65,45.04,46.08,47.59,49.43,51.51,52.36,51.42,51.28,52.48,53.79,57.28,58.31,59.67,60.36,64.43,70.35,71.71,72.90,74.44,74.54,74.21,74.24,,74.19,76.18,2.686207537
North West,E08000004,Oldham,,,,,,32.24,33.24,33.06,35.50,37.43,39.92,41.82,43.04,44.62,46.15,48.50,51.79,54.42,56.04,57.28,59.00,63.18,66.33,71.09,73.23,73.86,75.32,78.34,,79.78,82.91,3.923289045
North West,E07000122,Pendle,,,,,,35.79,36.49,36.89,37.76,39.14,40.72,42.74,42.31,43.67,45.27,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
