,Date,type,value,area
161,01-Jun-05,northeast_error,-3.5559158,Northeast
162,01-Jun-05,northwest_pred,90.216362,Northwest
163,01-Jun-05,northwest_error,-1.216362,Northwest
164,01-Jun-05,yorkshireandthehumber_pred,88.254929,Yorkshire
165,01-Jun-05,yorkshireandthehumber_error,-2.2549286,Yorkshire
166,01-Jun-05,eastmidlands_pred,87.499954,Eastmidlands
167,01-Jun-05,eastmidlands_error,1.9000473,Eastmidlands
168,01-Jun-05,westmidlands_pred,88.296844,Westmidlands
169,01-Jun-05,westmidlands_error,0.10315704,Westmidlands
170,01-Jun-05,east_pred,86.334747,East
171,01-Jun-05,east_error,-0.034744263,East
172,01-Jun-05,london_pred,76.527596,London
173,01-Jun-05,london_error,-0.92759705,London
174,01-Jun-05,southeast_pred,82.850365,Southeast
175,01-Jun-05,southeast_error,0.64963531,Southeast
176,01-Jun-05,southwest_pred,84.496719,Southwest
177,01-Jun-05,southwest_error,-0.19671631,Southwest
178,01-Jun-05,england_pred,82.574814,England
179,01-Jun-05,england_error,-0.47481537,England
180,01-Jul-05,england,82.300003,England
181,01-Jul-05,northeast,87.5,Northeast
182,01-Jul-05,northwest,89.099998,Northwest
183,01-Jul-05,yorkshireandthehumber,86.199997,Yorkshire
184,01-Jul-05,eastmidlands,89.599998,Eastmidlands
185,01-Jul-05,westmidlands,88.599998,Westmidlands
186,01-Jul-05,east,86.900002,East
187,01-Jul-05,london,75.699997,London
188,01-Jul-05,southeast,83.699997,Southeast
189,01-Jul-05,southwest,84.5,Southwest
190,01-Jul-05,northeast_pred,91.031509,Northeast
191,01-Jul-05,northeast_error,-3.5315094,Northeast
192,01-Jul-05,northwest_pred,90.309128,Northwest
193,01-Jul-05,northwest_error,-1.2091293,Northwest
194,01-Jul-05,yorkshireandthehumber_pred,88.367378,Yorkshire
195,01-Jul-05,yorkshireandthehumber_error,-2.1673813,Yorkshire
196,01-Jul-05,eastmidlands_pred,87.63784,Eastmidlands
197,01-Jul-05,eastmidlands_error,1.9621582,Eastmidlands
198,01-Jul-05,westmidlands_pred,88.414642,Westmidlands
199,01-Jul-05,westmidlands_error,0.18535614,Westmidlands
200,01-Jul-05,east_pred,86.473228,East
201,01-Jul-05,east_error,0.42677307,East
202,01-Jul-05,london_pred,76.708099,London
203,01-Jul-05,london_error,-1.0081024,London
204,01-Jul-05,southeast_pred,83.008797,Southeast
205,01-Jul-05,southeast_error,0.69120026,Southeast
206,01-Jul-05,southwest_pred,84.644226,Southwest
207,01-Jul-05,southwest_error,-0.14422607,Southwest
208,01-Jul-05,england_pred,82.725586,England
209,01-Jul-05,england_error,-0.42558289,England
210,01-Aug-05,england,82.5,England
211,01-Aug-05,northeast,87.599998,Northeast
212,01-Aug-05,northwest,89.199997,Northwest
213,01-Aug-05,yorkshireandthehumber,86.400002,Yorkshire
214,01-Aug-05,eastmidlands,89.699997,Eastmidlands
215,01-Aug-05,westmidlands,88.900002,Westmidlands
216,01-Aug-05,east,87.199997,East
217,01-Aug-05,london,76.0,London
218,01-Aug-05,southeast,83.800003,Southeast
219,01-Aug-05,southwest,84.800003,Southwest
220,01-Aug-05,northeast_pred,91.109619,Northeast
221,01-Aug-05,northeast_error,-3.5096207,Northeast
222,01-Aug-05,northwest_pred,90.404984,Northwest
223,01-Aug-05,northwest_error,-1.2049866,Northwest
224,01-Aug-05,yorkshireandthehumber_pred,88.483582,Yorkshire
225,01-Aug-05,yorkshireandthehumber_error,-2.08358,Yorkshire
226,01-Aug-05,eastmidlands_pred,87.780319,Eastmidlands
227,01-Aug-05,eastmidlands_error,1.9196777,Eastmidlands
228,01-Aug-05,westmidlands_pred,88.536362,Westmidlands
229,01-Aug-05,westmidlands_error,0.36363983,Westmidlands
230,01-Aug-05,east_pred,86.616325,East
231,01-Aug-05,east_error,0.58367157,East
232,01-Aug-05,london_pred,76.894623,London
233,01-Aug-05,london_error,-0.8946228,London
234,01-Aug-05,southeast_pred,83.172501,Southeast
235,01-Aug-05,southeast_error,0.62750244,Southeast
236,01-Aug-05,southwest_pred,84.796654,Southwest
237,01-Aug-05,southwest_error,0.003349304,Southwest
238,01-Aug-05,england_pred,82.881386,England
239,01-Aug-05,england_error,-0.3813858,England
240,01-Sep-05,england,82.699997,England
241,01-Sep-05,northeast,87.900002,Northeast
242,01-Sep-05,northwest,89.400002,Northwest
243,01-Sep-05,yorkshireandthehumber,86.699997,Yorkshire
244,01-Sep-05,eastmidlands,89.800003,Eastmidlands
245,01-Sep-05,westmidlands,89.099998,Westmidlands
246,01-Sep-05,east,87.400002,East
247,01-Sep-05,london,76.199997,London
248,01-Sep-05,southeast,84.0,Southeast
249,01-Sep-05,southwest,85.099998,Southwest
250,01-Sep-05,northeast_pred,91.187729,Northeast
251,01-Sep-05,northeast_error,-3.2877274,Northeast
252,01-Sep-05,northwest_pred,90.500839,Northwest
253,01-Sep-05,northwest_error,-1.1008377,Northwest
254,01-Sep-05,yorkshireandthehumber_pred,88.599777,Yorkshire
255,01-Sep-05,yorkshireandthehumber_error,-1.8997803,Yorkshire
256,01-Sep-05,eastmidlands_pred,87.922798,Eastmidlands
257,01-Sep-05,eastmidlands_error,1.8772049,Eastmidlands
258,01-Sep-05,westmidlands_pred,88.658081,Westmidlands
259,01-Sep-05,westmidlands_error,0.44191742,Westmidlands
260,01-Sep-05,east_pred,86.75943,East
261,01-Sep-05,east_error,0.64057159,East
262,01-Sep-05,london_pred,77.081146,London
263,01-Sep-05,london_error,-0.88114929,London
264,01-Sep-05,southeast_pred,83.336205,Southeast
265,01-Sep-05,southeast_error,0.66379547,Southeast
266,01-Sep-05,southwest_pred,84.949081,Southwest
267,01-Sep-05,southwest_error,0.15091705,Southwest
268,01-Sep-05,england_pred,83.037186,England
269,01-Sep-05,england_error,-0.33718872,England
270,01-Oct-05,england,82.800003,England
271,01-Oct-05,northeast,88.099998,Northeast
272,01-Oct-05,northwest,89.5,Northwest
273,01-Oct-05,yorkshireandthehumber,87.0,Yorkshire
274,01-Oct-05,eastmidlands,90.099998,Eastmidlands
275,01-Oct-05,westmidlands,89.199997,Westmidlands
276,01-Oct-05,east,87.699997,East
277,01-Oct-05,london,76.199997,London
278,01-Oct-05,southeast,84.099998,Southeast
279,01-Oct-05,southwest,85.199997,Southwest
280,01-Oct-05,northeast_pred,91.263321,Northeast
281,01-Oct-05,northeast_error,-3.1633224,Northeast
282,01-Oct-05,northwest_pred,90.593605,Northwest
283,01-Oct-05,northwest_error,-1.093605,Northwest
284,01-Oct-05,yorkshireandthehumber_pred,88.712227,Yorkshire
285,01-Oct-05,yorkshireandthehumber_error,-1.7122269,Yorkshire
286,01-Oct-05,eastmidlands_pred,88.060684,Eastmidlands
287,01-Oct-05,eastmidlands_error,2.0393143,Eastmidlands
288,01-Oct-05,westmidlands_pred,88.775871,Westmidlands
289,01-Oct-05,westmidlands_error,0.42412567,Westmidlands
290,01-Oct-05,east_pred,86.897911,East
291,01-Oct-05,east_error,0.80208588,East
292,01-Oct-05,london_pred,77.26165,London
293,01-Oct-05,london_error,-1.0616531,London
294,01-Oct-05,southeast_pred,83.494629,Southeast
295,01-Oct-05,southeast_error,0.60536957,Southeast
296,01-Oct-05,southwest_pred,85.096596,Southwest
297,01-Oct-05,southwest_error,0.10340118,Southwest
298,01-Oct-05,england_pred,83.187965,England
299,01-Oct-05,england_error,-0.38796234,England
300,01-Nov-05,england,83.0,England
301,01-Nov-05,northeast,88.300003,Northeast
302,01-Nov-05,northwest,89.699997,Northwest
303,01-Nov-05,yorkshireandthehumber,87.0,Yorkshire
304,01-Nov-05,eastmidlands,90.199997,Eastmidlands
305,01-Nov-05,westmidlands,89.400002,Westmidlands
306,01-Nov-05,east,87.800003,East
307,01-Nov-05,london,76.300003,London
308,01-Nov-05,southeast,84.199997,Southeast
309,01-Nov-05,southwest,85.5,Southwest
310,01-Nov-05,northeast_pred,91.341438,Northeast
311,01-Nov-05,northeast_error,-3.0414352,Northeast
312,01-Nov-05,northwest_pred,90.689461,Northwest
313,01-Nov-05,northwest_error,-0.98946381,Northwest
314,01-Nov-05,yorkshireandthehumber_pred,88.828423,Yorkshire
315,01-Nov-05,yorkshireandthehumber_error,-1.8284225,Yorkshire
316,01-Nov-05,eastmidlands_pred,88.203163,Eastmidlands
317,01-Nov-05,eastmidlands_error,1.9968338,Eastmidlands
318,01-Nov-05,westmidlands_pred,88.897591,Westmidlands
319,01-Nov-05,westmidlands_error,0.50241089,Westmidlands
320,01-Nov-05,east_pred,87.041008,East
321,01-Nov-05,east_error,0.75899506,East
322,01-Nov-05,london_pred,77.448174,London
323,01-Nov-05,london_error,-1.1481705,London
324,01-Nov-05,southeast_pred,83.65834,Southeast
325,01-Nov-05,southeast_error,0.54165649,Southeast
326,01-Nov-05,southwest_pred,85.249023,Southwest
327,01-Nov-05,southwest_error,0.25097656,Southwest
328,01-Nov-05,england_pred,83.343758,England
329,01-Nov-05,england_error,-0.34375763,England
330,01-Dec-05,england,83.199997,England
331,01-Dec-05,northeast,88.699997,Northeast
332,01-Dec-05,northwest,90.0,Northwest
333,01-Dec-05,yorkshireandthehumber,87.300003,Yorkshire
334,01-Dec-05,eastmidlands,90.300003,Eastmidlands
335,01-Dec-05,westmidlands,89.900002,Westmidlands
336,01-Dec-05,east,88.199997,East
337,01-Dec-05,london,76.5,London
338,01-Dec-05,southeast,84.5,Southeast
339,01-Dec-05,southwest,85.800003,Southwest
340,01-Dec-05,northeast_pred,91.41703,Northeast
341,01-Dec-05,northeast_error,-2.7170334,Northeast
342,01-Dec-05,northwest_pred,90.782227,Northwest
343,01-Dec-05,northwest_error,-0.78222656,Northwest
344,01-Dec-05,yorkshireandthehumber_pred,88.94088,Yorkshire
345,01-Dec-05,yorkshireandthehumber_error,-1.6408768,Yorkshire
346,01-Dec-05,eastmidlands_pred,88.341049,Eastmidlands
347,01-Dec-05,eastmidlands_error,1.9589539,Eastmidlands
348,01-Dec-05,westmidlands_pred,89.015388,Westmidlands
349,01-Dec-05,westmidlands_error,0.88461304,Westmidlands
350,01-Dec-05,east_pred,87.179489,East
351,01-Dec-05,east_error,1.0205078,East
352,01-Dec-05,london_pred,77.628677,London
353,01-Dec-05,london_error,-1.1286774,London
354,01-Dec-05,southeast_pred,83.816765,Southeast
355,01-Dec-05,southeast_error,0.68323517,Southeast
356,01-Dec-05,southwest_pred,85.39653,Southwest
357,01-Dec-05,southwest_error,0.4034729,Southwest
358,01-Dec-05,england_pred,83.494537,England
359,01-Dec-05,england_error,-0.29454041,England
360,01-Jan-06,england,83.5,England
361,01-Jan-06,northeast,89.0,Northeast
362,01-Jan-06,northwest,90.300003,Northwest
363,01-Jan-06,yorkshireandthehumber,87.699997,Yorkshire
364,01-Jan-06,eastmidlands,90.800003,Eastmidlands
365,01-Jan-06,westmidlands,90.199997,Westmidlands
366,01-Jan-06,east,88.5,East
367,01-Jan-06,london,76.800003,London
368,01-Jan-06,southeast,84.699997,Southeast
369,01-Jan-06,southwest,86.0,Southwest
370,01-Jan-06,northeast_pred,91.49514,Northeast
371,01-Jan-06,northeast_error,-2.4951401,Northeast
372,01-Jan-06,northwest_pred,90.878082,Northwest
373,01-Jan-06,northwest_error,-0.57807922,Northwest
374,01-Jan-06,yorkshireandthehumber_pred,89.057076,Yorkshire
375,01-Jan-06,yorkshireandthehumber_error,-1.3570786,Yorkshire
376,01-Jan-06,eastmidlands_pred,88.483528,Eastmidlands
377,01-Jan-06,eastmidlands_error,2.3164749,Eastmidlands
378,01-Jan-06,westmidlands_pred,89.137108,Westmidlands
379,01-Jan-06,westmidlands_error,1.0628891,Westmidlands
380,01-Jan-06,east_pred,87.322586,East
381,01-Jan-06,east_error,1.1774139,East
382,01-Jan-06,london_pred,77.815201,London
383,01-Jan-06,london_error,-1.0151978,London
384,01-Jan-06,southeast_pred,83.980469,Southeast
385,01-Jan-06,southeast_error,0.7195282,Southeast
386,01-Jan-06,southwest_pred,85.548958,Southwest
387,01-Jan-06,southwest_error,0.45104218,Southwest
388,01-Jan-06,england_pred,83.650337,England
389,01-Jan-06,england_error,-0.15033722,England
390,01-Feb-06,england,83.699997,England
391,01-Feb-06,northeast,89.099998,Northeast
392,01-Feb-06,northwest,90.400002,Northwest
393,01-Feb-06,yorkshireandthehumber,87.900002,Yorkshire
394,01-Feb-06,eastmidlands,90.800003,Eastmidlands
395,01-Feb-06,westmidlands,90.199997,Westmidlands
396,01-Feb-06,east,88.599998,East
397,01-Feb-06,london,77.0,London
398,01-Feb-06,southeast,84.800003,Southeast
399,01-Feb-06,southwest,86.099998,Southwest
400,01-Feb-06,northeast_pred,91.57325,Northeast
401,01-Feb-06,northeast_error,-2.4732513,Northeast
402,01-Feb-06,northwest_pred,90.973946,Northwest
403,01-Feb-06,northwest_error,-0.57394409,Northwest
404,01-Feb-06,yorkshireandthehumber_pred,89.173271,Yorkshire
405,01-Feb-06,yorkshireandthehumber_error,-1.2732697,Yorkshire
406,01-Feb-06,eastmidlands_pred,88.626007,Eastmidlands
407,01-Feb-06,eastmidlands_error,2.173996,Eastmidlands
408,01-Feb-06,westmidlands_pred,89.258827,Westmidlands
409,01-Feb-06,westmidlands_error,0.94116974,Westmidlands
410,01-Feb-06,east_pred,87.465691,East
411,01-Feb-06,east_error,1.1343079,East
412,01-Feb-06,london_pred,78.001724,London
413,01-Feb-06,london_error,-1.0017242,London
414,01-Feb-06,southeast_pred,84.144173,Southeast
415,01-Feb-06,southeast_error,0.65583038,Southeast
416,01-Feb-06,southwest_pred,85.701385,Southwest
417,01-Feb-06,southwest_error,0.39861298,Southwest
418,01-Feb-06,england_pred,83.806137,England
419,01-Feb-06,england_error,-0.10614014,England
420,01-Mar-06,england,83.800003,England
421,01-Mar-06,northeast,89.400002,Northeast
422,01-Mar-06,northwest,90.5,Northwest
423,01-Mar-06,yorkshireandthehumber,88.199997,Yorkshire
424,01-Mar-06,eastmidlands,90.900002,Eastmidlands
425,01-Mar-06,westmidlands,90.300003,Westmidlands
426,01-Mar-06,east,88.800003,East
427,01-Mar-06,london,77.099998,London
428,01-Mar-06,southeast,84.900002,Southeast
429,01-Mar-06,southwest,86.300003,Southwest
430,01-Mar-06,northeast_pred,91.643806,Northeast
431,01-Mar-06,northeast_error,-2.2438049,Northeast
432,01-Mar-06,northwest_pred,91.060524,Northwest
433,01-Mar-06,northwest_error,-0.56052399,Northwest
434,01-Mar-06,yorkshireandthehumber_pred,89.278229,Yorkshire
435,01-Mar-06,yorkshireandthehumber_error,-1.0782318,Yorkshire
436,01-Mar-06,eastmidlands_pred,88.7547,Eastmidlands
437,01-Mar-06,eastmidlands_error,2.1453018,Eastmidlands
438,01-Mar-06,westmidlands_pred,89.368767,Westmidlands
439,01-Mar-06,westmidlands_error,0.93123627,Westmidlands
440,01-Mar-06,east_pred,87.59494,East
441,01-Mar-06,east_error,1.2050629,East
442,01-Mar-06,london_pred,78.170197,London
443,01-Mar-06,london_error,-1.0701981,London
444,01-Mar-06,southeast_pred,84.292038,Southeast
445,01-Mar-06,southeast_error,0.60796356,Southeast
446,01-Mar-06,southwest_pred,85.839066,Southwest
447,01-Mar-06,southwest_error,0.4609375,Southwest
448,01-Mar-06,england_pred,83.946854,England
449,01-Mar-06,england_error,-0.14685059,England
450,01-Apr-06,england,84.0,England
451,01-Apr-06,northeast,89.400002,Northeast
452,01-Apr-06,northwest,90.599998,Northwest
453,01-Apr-06,yorkshireandthehumber,88.199997,Yorkshire
454,01-Apr-06,eastmidlands,91.099998,Eastmidlands
455,01-Apr-06,westmidlands,90.5,Westmidlands
456,01-Apr-06,east,88.900002,East
457,01-Apr-06,london,77.300003,London
458,01-Apr-06,southeast,85.199997,Southeast
459,01-Apr-06,southwest,86.400002,Southwest
460,01-Apr-06,northeast_pred,91.721916,Northeast
461,01-Apr-06,northeast_error,-2.3219147,Northeast
462,01-Apr-06,northwest_pred,91.15638,Northwest
463,01-Apr-06,northwest_error,-0.55638123,Northwest
464,01-Apr-06,yorkshireandthehumber_pred,89.394424,Yorkshire
465,01-Apr-06,yorkshireandthehumber_error,-1.1944275,Yorkshire
466,01-Apr-06,eastmidlands_pred,88.897179,Eastmidlands
467,01-Apr-06,eastmidlands_error,2.2028198,Eastmidlands
468,01-Apr-06,westmidlands_pred,89.490486,Westmidlands
469,01-Apr-06,westmidlands_error,1.0095139,Westmidlands
470,01-Apr-06,east_pred,87.738037,East
471,01-Apr-06,east_error,1.1619644,East
472,01-Apr-06,london_pred,78.356712,London
473,01-Apr-06,london_error,-1.0567093,London
474,01-Apr-06,southeast_pred,84.455742,Southeast
475,01-Apr-06,southeast_error,0.74425507,Southeast
476,01-Apr-06,southwest_pred,85.991493,Southwest
477,01-Apr-06,southwest_error,0.4085083,Southwest
478,01-Apr-06,england_pred,84.102654,England
479,01-Apr-06,england_error,-0.1026535,England
480,01-May-06,england,84.099998,England
481,01-May-06,northeast,89.699997,Northeast
482,01-May-06,northwest,90.699997,Northwest
483,01-May-06,yorkshireandthehumber,88.5,Yorkshire
484,01-May-06,eastmidlands,91.300003,Eastmidlands
485,01-May-06,westmidlands,90.599998,Westmidlands
486,01-May-06,east,89.099998,East
487,01-May-06,london,77.400002,London
488,01-May-06,southeast,85.400002,Southeast
489,01-May-06,southwest,86.400002,Southwest
490,01-May-06,northeast_pred,91.797508,Northeast
491,01-May-06,northeast_error,-2.0975113,Northeast
492,01-May-06,northwest_pred,91.249146,Northwest
493,01-May-06,northwest_error,-0.54914856,Northwest
494,01-May-06,yorkshireandthehumber_pred,89.506874,Yorkshire
495,01-May-06,yorkshireandthehumber_error,-1.0068741,Yorkshire
496,01-May-06,eastmidlands_pred,89.035065,Eastmidlands
497,01-May-06,eastmidlands_error,2.2649384,Eastmidlands
498,01-May-06,westmidlands_pred,89.608276,Westmidlands
