,Date,england,northeast,northwest,yorkshireandthehumber,eastmidlands,westmidlands,east,london,southeast,southwest,level_11,value
91,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,east_error,-0.19165039
92,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,london_pred,76.341072
93,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,london_error,-0.74107361
94,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,southeast_pred,82.686661
95,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,southeast_error,0.71334076
96,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,southwest_pred,84.344292
97,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,southwest_error,-0.34429169
98,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,england_pred,82.419014
99,01-May-05,82.0,87.199997,88.699997,85.699997,89.300003,88.300003,86.0,75.599998,83.400002,84.0,england_error,-0.41901398
100,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,northeast_pred,90.955917
101,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,northeast_error,-3.5559158
102,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,northwest_pred,90.216362
103,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,northwest_error,-1.216362
104,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,yorkshireandthehumber_pred,88.254929
105,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,yorkshireandthehumber_error,-2.2549286
106,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,eastmidlands_pred,87.499954
107,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,eastmidlands_error,1.9000473
108,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,westmidlands_pred,88.296844
109,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,westmidlands_error,0.10315704
110,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,east_pred,86.334747
111,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,east_error,-0.034744263
112,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,london_pred,76.527596
113,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,london_error,-0.92759705
114,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,southeast_pred,82.850365
115,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,southeast_error,0.64963531
116,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,southwest_pred,84.496719
117,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,southwest_error,-0.19671631
118,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,england_pred,82.574814
119,01-Jun-05,82.099998,87.400002,89.0,86.0,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,england_error,-0.47481537
120,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,northeast_pred,91.031509
121,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,northeast_error,-3.5315094
122,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,northwest_pred,90.309128
123,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,northwest_error,-1.2091293
124,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,yorkshireandthehumber_pred,88.367378
125,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,yorkshireandthehumber_error,-2.1673813
126,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,eastmidlands_pred,87.63784
127,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,eastmidlands_error,1.9621582
128,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,westmidlands_pred,88.414642
129,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,westmidlands_error,0.18535614
130,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,east_pred,86.473228
131,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,east_error,0.42677307
132,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,london_pred,76.708099
133,01-Jul-05,82.300003,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,london_error,-1.0081024
